vz,ay,comp,vx,az,ax,vy,time
0.106,0.038,-81.16421340186007,-0.15,1.012,-0.01,1.288,1.3933956623077393
0.106,0.041,-80.79417649036347,-0.255,1.009,-0.011,0.868,1.3954801559448242
0.036,0.038,-80.79417649036347,-0.22,1.013,-0.015,1.113,1.3959376811981201
0.176,0.035,-80.79417649036347,-0.185,1.013,-0.018,1.008,1.3962628841400146
0.036,0.041,-80.79417649036347,-0.185,1.01,-0.012,0.938,1.3965260982513428
-0.069,0.035,-80.81397914032324,-0.185,1.013,-0.015,1.008,1.3968195915222168
-0.104,0.036,-80.81397914032324,-0.22,1.013,-0.013,1.043,1.3970692157745361
-0.069,0.035,-80.81397914032324,-0.15,1.011,-0.011,1.043,1.3972899913787842
-0.139,0.039,-80.81397914032324,-0.29,1.016,-0.015,0.973,1.3974997997283936
-0.034,0.037,-80.81397914032324,-0.255,1.011,-0.003,1.078,1.397707462310791
-0.104,0.036,-80.81397914032324,-0.08,1.012,-0.0,1.148,1.3979222774505615
-0.104,0.038,-80.81397914032324,-0.325,1.015,-0.015,0.938,1.9465699195861816
-0.104,0.033,-80.80928283611088,-0.115,1.013,-0.017,0.798,1.947134256362915
0.036,0.043,-80.80928283611088,-0.22,1.006,-0.012,1.043,1.9490711688995361
0.106,0.044,-80.80928283611088,-0.325,1.008,-0.008,1.253,1.9493460655212402
0.071,0.034,-80.80928283611088,-0.22,1.012,-0.022,1.183,1.9495937824249268
-0.034,0.043,-80.80928283611088,-0.22,1.011,-0.011,0.938,1.9498491287231445
0.141,0.034,-80.80928283611088,-0.255,1.013,-0.015,0.903,1.9501593112945557
-0.139,0.038,-80.80928283611088,-0.185,1.012,-0.011,1.008,1.9504454135894775
0.211,0.038,-80.80928283611088,-0.325,1.011,-0.012,1.043,1.950702428817749
-0.034,0.039,-80.49975868466271,-0.115,1.016,-0.009,1.008,1.9509522914886475
-0.034,0.037,-80.49975868466271,-0.185,1.014,-0.015,1.008,1.9512147903442383
0.106,0.036,-80.49975868466271,-0.22,1.007,-0.015,1.043,1.9529242515563965
-0.034,0.045,-80.49975868466271,-0.325,1.009,-0.006,0.938,2.486304521560669
-0.069,0.041,-80.90273206875621,-0.115,1.015,-0.008,0.938,2.4868223667144775
0.071,0.031,-80.90273206875621,-0.08,1.013,-0.009,0.973,2.4884698390960693
-0.069,0.032,-80.90273206875621,-0.15,1.009,-0.012,0.973,2.488713502883911
0.141,0.032,-80.90273206875621,-0.22,1.016,-0.014,1.113,2.4889373779296875
-0.069,0.038,-80.42713598004363,-0.185,1.007,-0.012,0.973,2.4891562461853027
0.071,0.04,-80.42713598004363,-0.185,1.01,-0.009,1.043,2.4893760681152344
0.036,0.034,-80.42713598004363,-0.36,1.011,-0.018,1.043,2.489591360092163
0.036,0.038,-80.42713598004363,-0.29,1.013,-0.007,1.113,2.489802837371826
-0.034,0.039,-80.42713598004363,-0.255,1.014,-0.011,1.183,2.4900145530700684
0.001,0.034,-80.42713598004363,-0.185,1.012,-0.024,1.043,2.4902729988098145
0.071,0.04,-80.42713598004363,-0.22,1.01,-0.004,0.903,2.490933656692505
-0.104,0.041,-80.42713598004363,-0.255,1.014,-0.014,1.078,2.49303936958313
0.071,0.043,-80.42713598004363,-0.36,1.016,-0.003,0.973,2.994255304336548
-17.534,0.018,-81.18100363556802,-14.395,0.931,0.043,-13.342,2.9947478771209717
-17.149,-0.057,-81.04752666584584,-14.675,1.025,0.037,-10.052,2.996647357940674
-16.134,0.003,-81.04752666584584,-11.21,1.031,0.057,-6.027,2.9969482421875
-14.489,0.021,-81.04752666584584,-8.2,0.997,0.02,-0.217,2.9972455501556396
-13.089,0.019,-81.04752666584584,-3.685,1.054,0.073,5.418,2.9975168704986572
-11.164,0.021,-81.04752666584584,1.075,1.026,0.102,9.198,2.9977407455444336
-9.134,0.031,-81.04752666584584,2.825,0.91,0.084,10.108,2.9979300498962402
-8.364,0.067,-81.04752666584584,0.83,0.828,0.048,7.448,2.998112440109253
-8.259,0.0,-81.04752666584584,0.69,1.01,0.105,8.008,2.9983065128326416
