ax,time,vx,az,vy,ay,vz,comp
0.005,0.9722084999084473,-0.013,1.045,1.033,0.039,-0.052,-79.16373216093444
0.006,0.9728546142578125,-0.258,0.993,1.068,0.026,-0.297,-78.76316099838024
-0.006,0.97332763671875,0.022,1.011,0.928,0.038,-0.262,-78.76316099838024
0.014,0.9737074375152588,-0.363,1.003,1.348,0.027,-0.227,-78.76316099838024
-0.004,0.9740655422210693,-0.048,1.044,1.173,0.054,-0.122,-78.76316099838024
0.002,0.974407434463501,-0.048,1.007,1.243,0.021,-0.122,-78.76316099838024
0.002,0.9747567176818848,-0.293,1.026,1.173,0.04,-0.087,-78.76316099838024
0.006,0.9750924110412598,-0.188,1.011,0.718,0.022,-0.017,-78.60443315593
0.002,0.9753854274749756,0.057,1.021,1.173,0.02,-0.157,-78.60443315593
0.009,0.9756875038146973,-0.468,1.003,0.753,0.02,-0.052,-78.60443315593
-0.004,0.9759995937347412,-0.118,1.028,1.138,0.039,0.053,-78.60443315593
-0.002,0.9849338531494141,-0.188,0.991,0.928,0.018,-0.017,-78.60443315593
-0.006,0.9858670234680176,-0.048,1.034,1.243,0.051,0.158,-78.60443315593
0.009,1.5454261302947998,-0.398,0.994,1.033,0.043,0.053,-78.60443315593
0.003,1.5476934909820557,0.092,1.008,1.243,0.032,-0.122,-78.44633798554811
-0.002,1.5480923652648926,-0.048,1.008,1.453,0.024,-0.052,-78.44633798554811
-0.003,1.548356533050537,-0.433,1.018,0.998,0.024,-0.227,-78.44633798554811
-0.007,1.5485990047454834,-0.083,1.034,1.348,0.031,-0.052,-78.44633798554811
0.0,1.5488317012786865,-0.258,0.993,1.138,0.03,-0.262,-78.44633798554811
0.009,1.5490467548370361,-0.328,1.01,0.753,0.026,-0.157,-78.44633798554811
-0.003,1.5492589473724365,-0.293,1.02,1.103,0.041,0.018,-78.44633798554811
0.007,1.5494637489318848,-0.433,1.016,0.683,0.026,0.018,-78.87989271607782
-0.007,1.5496716499328613,-0.223,1.015,1.243,0.027,-0.017,-78.87989271607782
-0.01,1.5498757362365723,-0.258,1.018,1.033,0.035,-0.087,-78.87989271607782
-0.003,2.1216349601745605,-0.293,1.015,0.858,0.033,0.053,-78.87989271607782
-0.002,2.123828172683716,0.022,1.026,1.383,0.029,-0.017,-78.7246911318649
