az,vz,comp,ax,ay,vy,vx,time
1.008,-0.399,-77.3056578160299,-0.039,0.051,0.479,0.051,1.5364279747009277
1.011,-0.329,-77.8291559269987,-0.035,0.038,0.584,0.086,1.5386183261871338
1.008,-0.434,-77.8291559269987,-0.04,0.038,0.619,0.016,1.5389280319213867
1.012,-0.399,-77.8291559269987,-0.034,0.041,0.549,0.086,1.5391757488250732
1.014,-0.469,-77.8291559269987,-0.034,0.04,0.549,0.051,1.539409875869751
1.013,-0.399,-77.8291559269987,-0.031,0.028,0.724,0.016,1.539640188217163
1.003,-0.469,-77.8291559269987,-0.04,0.057,0.514,0.016,1.5398759841918945
1.013,-0.539,-77.8291559269987,-0.034,0.037,0.689,0.086,1.5400981903076172
1.011,-0.364,-77.8291559269987,-0.044,0.047,0.759,0.086,1.5403094291687012
1.011,-0.434,-77.5844249092672,-0.031,0.038,0.584,-0.019,1.540520191192627
1.012,-0.294,-77.5844249092672,-0.036,0.043,0.549,0.121,1.5407295227050781
1.018,-0.329,-77.5844249092672,-0.04,0.038,0.724,-0.019,1.541069746017456
1.003,-0.329,-77.5844249092672,-0.038,0.005,0.654,0.296,2.0952036380767822
1.002,-0.364,-77.92432056745136,-0.043,0.036,0.689,0.121,2.0974342823028564
0.997,-0.364,-77.92432056745136,-0.029,0.041,0.549,0.191,2.0978939533233643
1.011,-0.434,-77.53902261465285,-0.04,0.038,0.409,0.156,2.098238945007324
1.013,-0.399,-77.53902261465285,-0.034,0.039,0.549,0.121,2.0985684394836426
1.021,-0.329,-77.53902261465285,-0.034,0.039,0.724,0.156,2.0988762378692627
1.01,-0.224,-77.53902261465285,-0.032,0.035,0.654,0.121,2.0991814136505127
1.003,-0.224,-77.53902261465285,-0.033,0.044,0.549,0.156,2.0994715690612793
1.001,-0.259,-77.53902261465285,-0.033,0.041,0.724,0.016,2.099771738052368
1.011,-0.364,-77.53902261465285,-0.039,0.04,0.549,0.156,2.100079298019409
1.007,-0.329,-77.53902261465285,-0.039,0.044,0.794,0.121,2.1003737449645996
1.009,-0.434,-77.53902261465285,-0.038,0.043,0.794,0.086,2.1006920337677
1.015,-0.259,-77.53902261465285,-0.033,0.042,0.724,0.016,2.10098934173584
1.017,-0.504,-77.50238686842728,-0.038,0.036,0.724,0.156,2.5678822994232178
1.006,-0.469,-77.55673958531794,-0.045,0.042,0.304,0.191,2.5685482025146484
1.009,-0.294,-77.55673958531794,-0.032,0.041,0.619,0.051,2.5706682205200195
1.007,-0.469,-77.55673958531794,-0.036,0.034,0.619,0.086,2.5710251331329346
1.018,-0.294,-77.27614505113856,-0.037,0.038,0.584,0.086,2.5713188648223877
1.008,-0.294,-77.27614505113856,-0.033,0.032,0.899,-0.054,2.5715973377227783
1.009,-0.399,-77.27614505113856,-0.037,0.03,0.514,0.156,2.5718672275543213
1.022,-0.259,-77.27614505113856,-0.039,0.041,0.724,0.051,2.5721402168273926
1.015,-0.364,-77.27614505113856,-0.041,0.041,0.549,0.086,2.5724387168884277
1.001,-0.399,-77.27614505113856,-0.036,0.037,0.444,0.086,2.5727109909057617
1.002,-0.469,-77.27614505113856,-0.033,0.048,0.549,0.191,2.5729806423187256
1.017,-0.434,-77.27614505113856,-0.031,0.039,0.514,0.156,2.5732645988464355
1.009,-0.434,-77.27614505113856,-0.044,0.033,0.444,0.226,3.090238332748413
1.011,-0.434,-77.4364412537068,-0.043,0.044,0.794,0.191,3.0922796726226807
1.0,-0.434,-77.4364412537068,-0.031,0.031,0.584,0.191,3.092742919921875
1.021,-0.434,-77.4364412537068,-0.035,0.04,0.794,-0.019,3.0930747985839844
1.018,-0.399,-77.4364412537068,-0.036,0.038,0.654,0.121,3.093371629714966
1.007,-0.259,-77.4364412537068,-0.037,0.041,0.759,0.016,3.093653440475464
1.013,-0.434,-77.4364412537068,-0.039,0.036,0.654,0.016,3.0939319133758545
1.027,-0.364,-77.4364412537068,-0.037,0.036,0.619,0.016,3.094216823577881
1.0,-0.329,-77.4364412537068,-0.041,0.019,0.654,-0.019,3.0945029258728027
1.012,-0.504,-77.4364412537068,-0.031,0.041,0.689,0.086,3.0947771072387695
0.999,-0.259,-77.4364412537068,-0.037,0.038,0.549,0.121,3.095048189163208
1.02,-0.504,-77.1160577096204,-0.034,0.046,0.864,0.016,3.6182312965393066
1.058,-34.979,-76.51997073240375,0.101,0.104,17.279,8.626,3.618769884109497
0.978,-31.969,-76.51997073240375,0.016,0.015,31.454,11.426,3.6206750869750977
0.781,-29.169,-76.51997073240375,0.02,0.035,38.489,13.806,3.6209921836853027
1.022,-20.944,-76.51997073240375,0.206,-0.153,45.244,22.451,3.621260166168213
0.991,-16.709,-76.51997073240375,0.071,0.039,47.694,27.736,3.621521472930908
0.991,-16.709,-76.51997073240375,0.076,0.039,47.694,27.736,3.6217942237854004
1.23,-11.774,-74.4904724473345,-0.153,0.405,50.599,27.176,3.6221210956573486
1.181,-9.009,-74.4904724473345,0.096,0.121,45.909,16.536,3.622363567352295
1.376,-8.729,-74.4904724473345,-0.045,-0.026,31.734,9.256,3.6226069927215576
0.958,-6.489,-74.4904724473345,-0.075,-0.039,24.559,11.601,3.622877836227417
0.869,-3.829,-74.4904724473345,-0.132,0.071,26.169,21.016,3.623277425765991
0.881,-2.499,-74.4904724473345,-0.249,0.067,26.729,23.256,4.136291980743408
