vx,az,comp,ax,vz,ay,vy,time
-0.258,0.994,-85.94195289359769,-0.033,-0.052,0.039,1.173,1.4436466693878174
-0.153,1.01,-85.8372918590528,-0.03,-0.157,0.055,0.963,1.4456524848937988
-0.153,1.013,-85.8372918590528,-0.026,-0.192,0.047,0.928,1.4459455013275146
-0.118,1.017,-85.8372918590528,-0.036,-0.087,0.039,0.648,1.4461758136749268
-0.223,1.021,-86.40902106926973,-0.031,-0.332,0.043,0.998,1.4463911056518555
-0.223,1.015,-86.40902106926973,-0.029,-0.017,0.05,0.753,1.4466097354888916
-0.048,1.026,-86.40902106926973,-0.03,-0.052,0.05,0.718,1.446829080581665
-0.188,1.007,-86.40902106926973,-0.026,-0.262,0.056,0.858,1.447035551071167
-0.328,1.012,-86.40902106926973,-0.028,-0.192,0.053,1.068,1.447239637374878
-0.328,1.003,-86.40902106926973,-0.024,-0.122,0.061,0.963,1.447443962097168
-0.118,1.008,-86.40902106926973,-0.032,-0.052,0.039,0.718,1.4476454257965088
-0.153,0.997,-86.40902106926973,-0.028,-0.122,0.04,1.033,1.4518380165100098
-0.118,1.029,-86.40902106926973,-0.029,-0.262,0.05,0.858,1.9629833698272705
0.092,1.006,-85.73436313987806,-0.029,-0.087,0.04,1.068,1.9635825157165527
-0.083,1.02,-85.73436313987806,-0.03,-0.122,0.047,0.683,1.9639270305633545
-0.363,0.995,-85.73436313987806,-0.029,-0.157,0.039,1.068,1.965804100036621
-0.258,1.025,-85.73436313987806,-0.03,-0.122,0.053,0.928,1.966050386428833
-0.153,0.99,-85.73436313987806,-0.023,-0.087,0.044,0.718,1.9662775993347168
-0.048,1.02,-85.73436313987806,-0.035,-0.052,0.049,0.788,1.9664993286132812
-0.258,1.01,-85.73436313987806,-0.032,-0.192,0.044,0.858,1.9667823314666748
-0.223,1.017,-85.73436313987806,-0.033,-0.052,0.042,1.068,1.9669947624206543
-0.153,1.012,-85.73436313987806,-0.034,-0.192,0.042,0.788,1.9672009944915771
-0.223,1.014,-85.73436313987806,-0.03,-0.052,0.038,1.033,1.9673995971679688
-0.153,1.012,-85.93936424968427,-0.031,-0.157,0.046,1.173,1.9723970890045166
-0.153,1.013,-85.93936424968427,-0.029,-0.122,0.05,0.893,2.5280632972717285
-0.083,1.002,-85.8295634751579,-0.024,-0.157,0.059,0.858,2.528707981109619
-0.223,1.002,-85.8295634751579,-0.034,0.018,0.032,0.893,2.5306460857391357
-0.048,1.018,-85.8295634751579,-0.03,-0.017,0.05,0.858,2.5309572219848633
-0.118,1.01,-86.97745458706207,-0.032,-0.052,0.042,0.718,2.531238079071045
-0.223,1.015,-86.97745458706207,-0.031,-0.017,0.059,0.928,2.531486988067627
-0.153,1.005,-86.97745458706207,-0.025,-0.087,0.055,0.963,2.5317270755767822
-0.048,1.01,-86.97745458706207,-0.026,-0.052,0.05,0.893,2.531964063644409
-0.048,0.998,-86.97745458706207,-0.033,-0.227,0.031,0.998,2.5321922302246094
-0.153,1.012,-86.97745458706207,-0.032,-0.157,0.056,0.683,2.532494306564331
-0.153,1.021,-86.97745458706207,-0.025,-0.052,0.057,1.068,2.5328047275543213
-0.048,0.998,-86.97745458706207,-0.028,-0.157,0.048,0.683,2.5330841541290283
-0.118,1.01,-86.97745458706207,-0.027,0.018,0.041,0.788,3.0908396244049072
-0.153,0.998,-85.65165943923151,-0.061,0.018,0.043,0.998,3.0933127403259277
-0.013,1.014,-85.65165943923151,-0.026,-0.192,0.045,0.963,3.093791961669922
-0.223,1.02,-85.65165943923151,-0.003,-0.052,0.042,0.963,3.09413480758667
-0.258,1.017,-85.65165943923151,-0.033,-0.157,0.041,0.998,3.094438314437866
-0.223,1.015,-85.65165943923151,-0.028,-0.087,0.046,0.928,3.0947372913360596
-0.223,1.01,-85.87937684903328,-0.033,-0.122,0.047,0.998,3.095034122467041
-0.153,1.011,-85.87937684903328,-0.03,-0.087,0.055,0.998,3.095324993133545
-0.048,1.0,-85.87937684903328,-0.026,-0.122,0.049,0.823,3.095608711242676
