comp,az,vy,vx,ax,vz,time,ay
-76.3590520681656,1.017,1.103,-0.258,0.014,0.263,0.30511021614074707,-0.006
-76.3590520681656,1.018,0.718,-0.328,0.015,0.263,0.31102728843688965,0.0
-76.3590520681656,1.012,1.033,-0.328,0.007,0.228,0.3113691806793213,0.0
-76.3590520681656,1.03,0.963,-0.223,0.027,0.193,0.31166815757751465,0.005
-76.3590520681656,1.008,0.788,-0.188,0.009,0.228,0.3120899200439453,0.005
-76.3590520681656,1.011,1.068,-0.363,0.011,0.018,0.3123350143432617,0.001
-76.3590520681656,1.014,0.753,-0.398,0.009,0.228,0.31255245208740234,-0.007
-76.3590520681656,1.006,0.998,-0.258,0.002,0.228,0.31279420852661133,-0.004
-76.398859112747,1.009,1.033,-0.398,0.011,0.158,0.31308913230895996,-0.004
-76.398859112747,1.021,0.683,-0.223,0.013,0.193,0.31350207328796387,-0.02
-76.398859112747,1.003,1.278,-0.328,0.001,0.018,0.31797099113464355,-0.004
-76.398859112747,1.004,0.893,-0.503,0.011,0.298,0.32080721855163574,-0.012
-76.398859112747,1.012,1.103,-0.223,0.015,0.298,0.3323671817779541,-0.003
-76.398859112747,1.007,1.033,-0.188,0.014,0.053,0.3430359363555908,-0.004
-76.398859112747,1.019,0.893,-0.258,0.018,0.333,0.3524315357208252,-0.012
-76.398859112747,1.025,1.278,-0.293,0.014,0.228,0.36376309394836426,-0.005
-76.398859112747,1.011,0.823,-0.293,0.014,0.228,0.37118959426879883,0.0
-76.398859112747,1.007,0.963,-0.223,0.016,0.333,0.38195085525512695,-0.008
-76.92311065590066,1.014,1.138,-0.503,0.007,0.053,0.39072465896606445,-0.007
-76.92311065590066,1.008,0.963,-0.538,0.013,0.333,0.4013667106628418,-0.005
-76.92311065590066,1.007,1.243,-0.258,0.015,0.088,0.4107632637023926,-0.006
-76.92311065590066,1.007,1.173,-0.328,0.018,0.123,0.4209449291229248,-0.012
-76.92311065590066,1.017,0.893,-0.153,0.013,0.193,0.43132710456848145,-0.012
-76.92311065590066,1.016,0.928,-0.258,0.015,-0.017,0.4407927989959717,-0.007
-76.92311065590066,1.011,0.963,-0.503,0.009,0.193,0.9078004360198975,-0.003
-77.14190982700183,1.016,1.173,-0.398,0.012,0.333,0.9083609580993652,-0.006
-77.14190982700183,1.011,0.648,-0.293,0.007,0.333,0.9087381362915039,-0.004
-77.14190982700183,1.015,0.928,-0.643,0.024,0.403,0.9090123176574707,-0.005
-77.14190982700183,1.003,1.068,-0.258,0.004,0.333,0.9092891216278076,-0.005
-77.14190982700183,1.014,0.928,-0.153,0.023,0.298,0.9095325469970703,-0.006
-77.14190982700183,1.018,1.068,-0.363,0.021,0.158,0.9097461700439453,-0.007
-77.14190982700183,1.014,0.893,-0.398,0.013,0.053,0.9099636077880859,-0.007
-77.32381731805606,1.019,0.963,-0.328,0.013,0.158,0.9101645946502686,-0.005
-77.32381731805606,1.012,1.278,-0.398,0.009,0.053,0.9103877544403076,-0.006
-77.32381731805606,1.013,0.998,-0.153,0.017,0.193,0.9105894565582275,-0.01
-77.32381731805606,1.01,1.348,-0.398,0.008,0.018,0.9107880592346191,0.002
-77.32381731805606,1.005,0.753,-0.503,0.007,0.053,1.3584425449371338,-0.002
-76.98538368478128,1.02,1.068,-0.083,0.013,0.298,1.3604230880737305,-0.015
-76.7986842309472,1.012,0.788,-0.328,0.021,0.263,1.3607425689697266,-0.014
-76.7986842309472,1.015,1.068,-0.293,0.004,0.298,1.3609747886657715,-0.008
-76.7986842309472,1.018,1.103,-0.083,0.006,0.263,1.3611841201782227,-0.004
-76.7986842309472,1.012,0.998,-0.398,0.011,0.368,1.3613851070404053,-0.008
-76.7986842309472,1.006,0.858,0.022,0.005,0.298,1.3615827560424805,0.001
-76.7986842309472,1.004,0.823,-0.258,0.004,0.263,1.3617780208587646,0.004
-76.7986842309472,1.013,1.103,-0.468,0.011,0.228,1.3619718551635742,0.0
-76.7986842309472,1.008,0.893,-0.293,0.022,0.228,1.3621878623962402,-0.005
-76.7986842309472,1.012,0.893,-0.468,0.01,0.123,1.3623943328857422,-0.007
-76.7986842309472,1.025,0.858,-0.188,0.015,-0.052,1.3625974655151367,-0.006
-77.3804006248966,1.007,1.033,-0.433,0.009,0.123,1.8151915073394775,0.005
-76.77773022475361,1.005,0.823,-0.433,0.021,0.088,1.8156805038452148,-0.01
-76.77773022475361,1.016,1.348,-0.118,0.006,0.158,1.8173127174377441,-0.005
-76.77773022475361,1.015,0.998,-0.293,0.016,0.263,1.8175442218780518,-0.005
-76.77773022475361,1.012,0.858,-0.363,0.007,0.333,1.8177592754364014,-0.009
-77.389912867668,1.014,1.103,-0.433,0.012,0.298,1.8179643154144287,-0.005
-77.389912867668,1.011,0.858,-0.293,0.008,0.298,1.8181779384613037,-0.012
-77.389912867668,1.006,1.208,-0.328,0.019,0.298,1.8183784484863281,-0.0
-77.389912867668,1.011,0.893,-0.188,0.013,0.298,1.8186016082763672,-0.002
-77.389912867668,1.021,0.998,-0.293,0.019,0.263,1.8188765048980713,-0.016
-77.389912867668,1.008,1.033,-0.328,0.015,0.263,1.819181203842163,-0.006
-77.389912867668,1.018,0.998,-0.363,0.021,0.088,1.823495864868164,-0.004
-77.389912867668,1.018,0.928,-0.363,0.015,0.158,2.249630928039551,-0.0
-77.37357765481045,1.01,1.208,-0.293,0.003,0.123,2.2500948905944824,-0.007
-77.37357765481045,1.016,0.963,-0.433,0.014,0.088,2.251711368560791,-0.004
-77.37357765481045,1.007,0.823,-0.293,0.02,0.158,2.2519524097442627,-0.002
-77.37357765481045,1.015,1.208,-0.293,0.008,0.123,2.2522032260894775,-0.011
-77.37357765481045,1.011,0.893,-0.118,0.012,0.298,2.2524707317352295,-0.0
-77.37357765481045,1.017,1.278,-0.328,0.016,0.263,2.252755880355835,0.004
-77.37357765481045,1.017,0.648,-0.328,0.02,0.263,2.253030300140381,0.0
-77.37357765481045,1.008,0.753,-0.328,0.02,0.158,2.253296136856079,-0.01
-77.37357765481045,1.015,1.033,-0.328,0.013,0.263,2.253589391708374,-0.004
-76.86597769360368,1.015,0.998,-0.328,0.006,0.333,2.253889322280884,-0.002
-76.86597769360368,1.017,1.138,-0.153,0.019,0.263,2.678231716156006,-0.011
-77.42539897249902,1.028,0.823,-0.223,0.008,0.298,2.6802120208740234,-0.003
-77.42539897249902,1.005,0.963,-0.398,0.011,0.193,2.6805756092071533,-0.002
-77.42539897249902,1.012,0.928,-0.188,0.009,0.158,2.68084979057312,-0.005
-77.42539897249902,1.015,1.033,-0.258,0.009,0.088,2.6811070442199707,-0.005
-77.42539897249902,1.024,1.033,-0.538,0.02,0.053,2.6813528537750244,-0.001
-77.42539897249902,1.003,0.858,-0.223,0.007,0.053,2.6816015243530273,-0.006
-77.26539235695965,1.001,1.103,-0.398,0.014,0.018,2.681849241256714,-0.006
-77.26539235695965,1.022,1.103,-0.398,0.015,0.193,2.682112455368042,-0.004
-77.26539235695965,1.007,0.753,-0.363,0.008,0.123,2.6823339462280273,-0.008
-77.26539235695965,1.014,0.963,-0.363,0.021,0.263,2.682551860809326,-0.019
-77.26539235695965,1.006,0.823,-0.188,0.014,0.403,2.6827569007873535,-0.015
-77.26539235695965,1.002,1.103,-0.468,0.005,0.473,3.103013277053833,-0.001
-77.1480208335928,1.025,0.893,-0.188,0.005,0.368,3.1048424243927,-0.003
-77.1480208335928,1.006,1.068,-0.293,0.023,0.263,3.1052489280700684,-0.01
-76.73336879960084,1.02,0.928,-0.328,0.014,0.263,3.1055548191070557,-0.011
-76.73336879960084,1.013,0.893,-0.118,0.016,0.263,3.105872392654419,0.0
-76.73336879960084,1.017,0.928,-0.223,0.011,0.438,3.1061739921569824,-0.005
-76.73336879960084,1.017,1.208,-0.363,0.01,0.158,3.106463670730591,-0.0
-76.73336879960084,1.006,0.753,-0.223,0.018,0.193,3.1067588329315186,-0.003
-76.73336879960084,1.01,0.998,-0.258,0.007,0.158,3.107065200805664,-0.012
-76.73336879960084,1.013,0.543,-0.188,0.013,-0.052,3.1073670387268066,-0.006
-76.73336879960084,1.006,1.348,-0.433,0.004,0.298,3.1076486110687256,-0.005
-76.73336879960084,1.016,0.963,-0.258,0.011,0.088,3.543931722640991,-0.006
-77.26528220177747,1.015,0.963,-0.293,0.007,0.263,3.544410467147827,-0.005
-77.26528220177747,1.006,1.033,-0.538,0.009,0.473,3.546128034591675,-0.009
-77.26528220177747,1.011,0.823,-0.223,0.013,0.403,3.546457290649414,-0.01
-77.26528220177747,1.012,0.998,-0.363,0.014,0.368,3.546750545501709,-0.005
