vy,ay,az,ax,vz,vx,time,comp
0.912,-0.024,1.013,0.059,-0.212,-0.161,1.3220841884613037,-78.730794290484
0.982,-0.025,1.01,0.056,-0.212,-0.126,1.3226509094238281,-78.48238868326922
1.157,-0.026,1.009,0.056,-0.212,-0.301,1.324202060699463,-78.48238868326922
0.982,-0.027,1.014,0.055,-0.177,-0.161,1.3244125843048096,-78.48238868326922
0.912,-0.025,1.014,0.057,-0.177,-0.196,1.3246171474456787,-78.48238868326922
0.877,-0.027,1.011,0.056,-0.282,-0.231,1.3248209953308105,-78.48238868326922
0.842,-0.027,1.014,0.057,-0.212,-0.091,1.3250229358673096,-78.58465075580217
0.982,-0.025,1.015,0.059,-0.107,-0.091,1.3252427577972412,-78.58465075580217
1.052,-0.025,1.009,0.058,-0.142,-0.266,1.3254563808441162,-78.58465075580217
0.842,-0.024,1.01,0.055,-0.107,-0.126,1.3256654739379883,-78.58465075580217
1.192,-0.026,1.009,0.062,-0.072,-0.161,1.3258769512176514,-78.58465075580217
0.982,-0.029,1.014,0.056,-0.177,-0.161,1.329223871231079,-78.58465075580217
1.017,-0.024,1.012,0.057,-0.002,-0.126,1.8182220458984375,-78.58465075580217
1.017,-0.025,1.01,0.051,-0.177,-0.126,1.818899393081665,-77.91987132109044
0.877,-0.028,1.01,0.054,-0.072,-0.196,1.8193333148956299,-77.91987132109044
0.947,-0.024,1.014,0.058,-0.142,-0.021,1.8198943138122559,-77.91987132109044
0.947,-0.025,1.011,0.052,-0.107,-0.231,1.8201851844787598,-77.91987132109044
0.807,-0.024,1.011,0.057,-0.142,-0.126,1.8218274116516113,-77.91987132109044
1.017,-0.024,1.014,0.059,-0.142,-0.126,1.8220882415771484,-78.36184609945336
1.157,-0.026,1.012,0.059,-0.107,-0.161,1.8223552703857422,-78.36184609945336
1.052,-0.024,1.011,0.053,-0.072,-0.196,1.8225643634796143,-78.36184609945336
0.982,-0.026,1.012,0.056,-0.107,-0.196,1.8227603435516357,-78.36184609945336
0.842,-0.027,1.015,0.058,-0.212,-0.196,1.8229525089263916,-78.36184609945336
0.947,-0.026,1.011,0.057,-0.212,-0.056,1.823148250579834,-78.36184609945336
0.912,-0.026,1.009,0.056,-0.142,-0.231,2.329547882080078,-78.36184609945336
0.877,-0.03,1.013,0.056,-0.107,-0.161,2.330042839050293,-77.86740137140501
0.982,-0.023,1.012,0.06,-0.177,-0.091,2.3303003311157227,-77.86740137140501
0.842,-0.025,1.01,0.056,-0.142,-0.196,2.330526828765869,-78.50198894916764
0.912,-0.026,1.011,0.059,-0.177,-0.196,2.332127571105957,-78.50198894916764
0.842,-0.022,1.012,0.057,-0.177,-0.161,2.33235239982605,-78.50198894916764
1.192,-0.024,1.011,0.056,-0.107,-0.266,2.332554340362549,-78.50198894916764
1.017,-0.023,1.008,0.061,-0.317,-0.126,2.3327481746673584,-78.50198894916764
0.702,-0.031,1.012,0.05,-0.037,-0.021,2.3329501152038574,-78.50198894916764
1.157,-0.025,1.011,0.057,-0.212,-0.231,2.3331592082977295,-78.50198894916764
0.702,-0.028,1.007,0.049,-0.212,-0.021,2.3333511352539062,-78.50198894916764
0.912,-0.027,1.012,0.057,-0.002,-0.196,2.8303794860839844,-78.50198894916764
0.877,-0.024,1.013,0.059,-0.142,-0.196,2.830843925476074,-78.56784395796979
1.052,-0.03,1.013,0.056,-0.142,-0.091,2.832474708557129,-77.83124927555725
0.912,-0.025,1.012,0.056,-0.142,-0.091,2.8327033519744873,-77.83124927555725
1.087,-0.023,1.012,0.057,-0.072,-0.196,2.832907199859619,-77.83124927555725
0.912,-0.027,1.011,0.058,-0.177,-0.161,2.8331141471862793,-77.83124927555725
0.947,-0.027,1.015,0.059,-0.212,-0.126,2.833305835723877,-77.83124927555725
1.087,-0.023,1.012,0.06,-0.247,-0.126,2.833493947982788,-77.83124927555725
0.877,-0.026,1.011,0.053,-0.247,-0.161,2.8336780071258545,-77.83124927555725
1.157,-0.027,1.013,0.055,-0.072,-0.196,2.833862543106079,-77.83124927555725
1.122,-0.026,1.011,0.059,-0.142,-0.196,2.8340439796447754,-77.83124927555725
0.947,-0.025,1.01,0.056,-0.177,-0.196,3.3520355224609375,-77.83124927555725
0.772,-0.026,1.012,0.056,-0.072,-0.056,3.3524980545043945,-78.74156470743279
1.157,-0.026,1.013,0.057,-0.037,-0.161,3.3544225692749023,-78.74156470743279
0.842,-0.026,1.014,0.055,-0.212,-0.231,3.3546571731567383,-78.74156470743279
1.087,-0.025,1.01,0.056,-0.107,-0.126,3.354860305786133,-78.74156470743279
0.947,-0.026,1.013,0.057,-0.142,-0.196,3.355058431625366,-78.74156470743279
0.877,-0.025,1.01,0.054,0.068,-0.266,3.355252742767334,-78.74156470743279
1.052,-0.022,1.008,0.06,-0.142,-0.126,3.3554553985595703,-78.74156470743279
0.842,-0.025,1.015,0.059,-0.177,-0.021,3.3556485176086426,-78.74156470743279
0.877,-0.027,1.013,0.058,-0.037,-0.196,3.3558406829833984,-78.2918793300482
1.017,-0.028,1.014,0.056,-0.142,-0.126,3.356043815612793,-78.2918793300482
0.912,-0.021,1.01,0.059,-0.072,-0.056,3.359456777572632,-78.2918793300482
1.017,-0.027,1.01,0.054,-0.247,-0.301,3.8700220584869385,-78.2918793300482
0.982,-0.025,1.01,0.059,-0.107,-0.091,3.870572566986084,-78.06175163074732
0.947,-0.026,1.013,0.054,-0.142,-0.091,3.872292995452881,-78.06175163074732
0.947,-0.026,1.01,0.055,-0.072,-0.161,3.872563123703003,-78.06175163074732
0.807,-0.023,1.011,0.057,-0.107,-0.196,3.872809410095215,-78.06175163074732
1.052,-0.027,1.013,0.056,-0.212,-0.161,3.873058319091797,-78.06175163074732
0.982,-0.026,1.013,0.06,-0.212,-0.021,3.873274326324463,-78.77550703842226
0.912,-0.023,1.008,0.056,-0.107,-0.196,3.873521566390991,-78.77550703842226
0.912,-0.026,1.01,0.056,-0.177,-0.161,3.873760938644409,-78.77550703842226
1.087,-0.022,1.009,0.055,-0.037,-0.266,3.8740017414093018,-78.77550703842226
