vz,time,ax,ay,vx,comp,az,vy
-0.069,1.4173903465270996,0.056,-0.017,-0.22,-81.2665574130074,1.014,0.763
-0.139,1.4193346500396729,0.053,-0.016,-0.08,-81.17962044797895,1.021,0.588
-0.139,1.419706106185913,0.06,-0.019,-0.185,-81.17962044797895,1.019,0.763
-0.139,1.4199771881103516,0.058,-0.011,-0.01,-81.17962044797895,1.009,0.903
-0.034,1.4202508926391602,0.056,-0.014,-0.01,-81.40543711156451,1.009,0.588
-0.314,1.4205212593078613,0.059,-0.004,-0.01,-81.40543711156451,1.014,0.728
-0.209,1.4207720756530762,0.056,-0.012,0.025,-81.40543711156451,1.012,0.623
-0.069,1.421018362045288,0.063,-0.012,-0.045,-81.40543711156451,1.016,0.763
-0.384,1.4212656021118164,0.06,-0.024,-0.15,-81.40543711156451,1.01,0.658
-0.174,1.4215161800384521,0.054,-0.014,-0.01,-81.40543711156451,1.013,0.623
-0.209,1.421752691268921,0.057,-0.018,-0.115,-81.40543711156451,1.013,0.868
-0.174,1.955482006072998,0.056,-0.009,-0.08,-81.40543711156451,1.012,0.798
-0.139,1.9576938152313232,0.052,0.001,0.06,-81.37583810387287,1.011,0.798
-0.279,1.9580280780792236,0.055,-0.011,0.095,-81.37583810387287,1.019,0.588
-0.209,1.9582550525665283,0.048,-0.027,-0.255,-81.37583810387287,1.018,0.798
-0.244,1.9584667682647705,0.057,-0.012,-0.08,-81.37583810387287,1.011,0.658
-0.139,1.9586658477783203,0.053,-0.019,-0.22,-81.37583810387287,1.004,0.623
-0.104,1.9588613510131836,0.056,-0.014,0.025,-81.37583810387287,1.013,0.693
-0.139,1.959059715270996,0.061,-0.013,0.095,-81.37583810387287,1.011,0.588
0.001,1.9592528343200684,0.054,-0.017,-0.185,-81.37583810387287,0.992,0.693
-0.174,1.959460973739624,0.056,-0.018,0.06,-81.03347044132164,1.02,0.623
0.036,1.9596648216247559,0.063,-0.006,-0.29,-81.03347044132164,1.021,0.728
-0.104,2.5337870121002197,0.059,-0.007,0.06,-81.03347044132164,1.005,0.623
-0.209,2.535965919494629,0.061,0.003,-0.255,-81.04820442563754,1.0,0.833
-0.104,2.536311388015747,0.057,-0.018,-0.08,-81.04820442563754,1.02,0.588
-0.069,2.536540985107422,0.053,-0.017,-0.01,-81.04820442563754,1.015,0.588
-0.244,2.5367519855499268,0.055,-0.01,-0.185,-81.04820442563754,1.005,0.763
-0.209,2.5369603633880615,0.049,-0.024,-0.08,-81.04820442563754,1.014,0.693
-0.279,2.537163496017456,0.058,-0.016,-0.15,-81.04820442563754,1.03,0.658
-0.174,2.5373733043670654,0.05,-0.03,0.095,-81.04820442563754,1.019,0.728
-0.034,2.5375683307647705,0.047,-0.009,-0.045,-81.04820442563754,1.008,0.728
-0.139,2.5377612113952637,0.052,-0.027,-0.01,-81.04820442563754,1.02,0.588
-0.069,2.5379505157470703,0.051,-0.017,-0.115,-81.45092317958131,1.015,0.623
-0.174,3.137328624725342,0.053,-0.019,-0.15,-81.45092317958131,1.012,0.763
-7.559,3.1397807598114014,0.083,-0.065,-5.575,-81.6779448617906,0.916,-4.767
-6.859,3.1402976512908936,0.084,-0.078,-6.135,-81.6779448617906,0.989,-7.672
-5.879,3.1406586170196533,0.07,-0.031,-7.5,-81.6779448617906,1.011,-9.282
-3.849,3.1409976482391357,0.061,-0.052,-6.485,-81.6779448617906,1.003,-8.477
-2.764,3.1413302421569824,0.047,-0.027,-4.14,-81.6779448617906,1.037,-4.732
-1.294,3.1415998935699463,0.053,-0.02,-1.97,-81.6779448617906,1.079,-0.882
-0.769,3.1418490409851074,0.057,-0.035,-1.445,-81.6779448617906,1.055,2.198
-0.034,3.1421878337860107,0.066,-0.042,-0.22,-82.57431845722411,0.973,1.568
-0.034,3.142551898956299,0.068,0.003,-0.22,-82.57431845722411,0.973,1.568
1.646,3.1429009437561035,0.081,-0.061,-3.86,-82.57431845722411,0.949,-0.707
1.681,3.1431493759155273,0.053,-0.067,-2.81,-82.57431845722411,0.97,-2.457
2.066,3.7452614307403564,0.072,-0.069,-4.56,-82.57431845722411,0.999,-3.752
-13.404,3.747180700302124,0.112,-0.067,5.38,-80.98173617070809,1.001,5.488
-12.774,3.7475810050964355,0.125,-0.103,6.29,-80.98173617070809,0.938,6.328
-12.914,3.7478842735290527,0.09,-0.103,8.775,-80.98173617070809,0.933,3.318
-11.059,3.748185157775879,0.108,-0.028,6.5,-80.98173617070809,1.016,2.303
-13.089,3.7484867572784424,0.13,-0.083,-1.585,-80.98173617070809,1.107,0.063
-13.299,3.7487618923187256,0.07,-0.049,4.085,-80.91704114254306,1.019,0.238
-14.034,3.7490341663360596,0.104,-0.066,2.685,-80.91704114254306,1.094,2.268
-15.084,3.7493040561676025,0.122,-0.049,3.21,-80.91704114254306,1.056,1.988
-16.064,3.749588966369629,0.103,-0.037,6.78,-80.91704114254306,0.961,-0.182
-17.779,3.7498490810394287,0.122,-0.025,-0.815,-80.91704114254306,0.982,-4.347
-17.744,4.215759754180908,0.109,-0.031,-4.735,-80.91704114254306,1.062,-5.922
-6.334,4.21800422668457,0.076,-0.039,7.9,-79.18175365407009,1.109,7.658
