vy,time,ay,vx,az,ax,vz,comp
0.858,1.3180861473083496,-0.016,-0.048,0.991,0.042,-0.192,-82.16085577460105
1.068,1.3200345039367676,-0.013,-0.048,1.018,0.044,-0.297,-82.32470905786533
0.823,1.3203349113464355,-0.01,-0.083,0.999,0.049,-0.157,-82.32470905786533
0.928,1.3206167221069336,-0.001,-0.118,1.022,0.054,-0.192,-82.32470905786533
0.893,1.320871114730835,-0.024,-0.083,0.998,0.047,-0.227,-82.32470905786533
0.928,1.321126937866211,-0.007,-0.083,1.019,0.05,-0.157,-82.32470905786533
0.998,1.321366548538208,-0.012,-0.118,1.005,0.04,-0.227,-82.32470905786533
0.543,1.321605920791626,-0.006,0.022,1.008,0.045,-0.192,-82.32470905786533
0.858,1.3218436241149902,0.002,-0.083,1.008,0.048,-0.122,-82.32470905786533
0.858,1.3220977783203125,-0.005,-0.048,1.02,0.045,-0.227,-82.5463189198497
0.858,1.3223092555999756,-0.002,-0.118,1.005,0.046,-0.262,-82.5463189198497
0.858,1.8484816551208496,-0.006,-0.188,1.01,0.048,-0.297,-82.5463189198497
0.788,1.8504302501678467,-0.015,-0.013,1.001,0.047,-0.192,-82.39656758722025
0.683,1.850785493850708,-0.023,-0.013,1.021,0.055,-0.087,-82.39656758722025
0.928,1.8510267734527588,-0.004,0.092,1.017,0.042,-0.052,-82.39656758722025
1.138,1.851252555847168,-0.022,-0.118,1.014,0.046,-0.052,-82.39656758722025
0.858,1.8514680862426758,-0.008,-0.258,1.015,0.045,-0.087,-82.3846769504793
0.893,1.8516864776611328,-0.026,-0.083,1.004,0.037,-0.157,-82.3846769504793
0.718,1.8518965244293213,-0.017,-0.118,1.011,0.044,-0.122,-82.3846769504793
0.823,1.8521223068237305,-0.018,-0.188,1.024,0.042,-0.192,-82.3846769504793
1.033,1.8523457050323486,-0.01,-0.293,1.012,0.046,-0.332,-82.3846769504793
1.173,1.852569580078125,0.006,-0.118,1.0,0.06,-0.402,-82.3846769504793
0.753,2.4162421226501465,-0.014,-0.118,1.016,0.045,-0.367,-82.3846769504793
0.893,2.418159008026123,-0.015,-0.048,1.014,0.048,-0.367,-82.22443466474454
1.103,2.4185478687286377,-0.017,-0.258,1.002,0.043,-0.017,-82.22443466474454
0.858,2.4188289642333984,-0.014,-0.083,1.026,0.047,-0.297,-82.22443466474454
0.718,2.419093608856201,-0.006,-0.188,0.989,0.057,-0.157,-82.22443466474454
0.963,2.419347047805786,-0.009,-0.258,1.031,0.045,-0.087,-82.22443466474454
0.998,2.4196043014526367,-0.0,-0.118,1.004,0.057,-0.297,-82.22443466474454
0.893,2.4198572635650635,-0.021,-0.083,1.017,0.053,-0.192,-82.47462344808811
0.753,2.420105218887329,-0.008,-0.188,1.01,0.043,-0.262,-82.47462344808811
0.788,2.4203436374664307,-0.01,-0.048,1.014,0.045,-0.157,-82.47462344808811
0.788,2.4205808639526367,-0.015,-0.188,1.017,0.034,-0.122,-82.47462344808811
1.033,2.967712640762329,-0.013,-0.328,1.012,0.046,-0.262,-82.47462344808811
0.963,2.968289613723755,-0.005,-0.118,1.008,0.049,-0.227,-83.16507604108465
0.928,2.970099925994873,-0.01,-0.223,1.023,0.038,-0.052,-83.16507604108465
0.858,2.970402240753174,-0.043,-0.048,1.019,0.03,-0.192,-83.16507604108465
0.753,2.970691204071045,-0.001,-0.223,1.022,0.042,-0.192,-83.16507604108465
0.473,2.970963716506958,0.004,-0.188,0.985,0.067,-0.227,-83.16507604108465
0.858,2.971226453781128,-0.006,-0.083,1.017,0.041,-0.227,-83.16507604108465
0.963,2.971487283706665,-0.005,-0.188,1.006,0.06,-0.227,-83.16507604108465
1.103,2.9717600345611572,-0.02,-0.118,1.021,0.047,-0.227,-83.16507604108465
0.893,2.9720664024353027,-0.009,-0.293,1.006,0.038,-0.227,-83.16507604108465
1.033,2.972351551055908,-0.01,-0.048,1.008,0.056,-0.192,-83.16507604108465
0.683,2.9762234687805176,-0.013,-0.118,1.024,0.043,-0.052,-83.03156244296756
