vy,vx,az,ax,comp,time,ay,vz
0.549,0.121,1.004,0.029,-84.88397249313077,0.38601040840148926,0.011,-0.469
0.444,0.191,1.021,0.026,-84.88397249313077,0.39244532585144043,-0.0,-0.539
0.549,0.331,1.022,0.037,-84.88397249313077,0.4026644229888916,0.011,-0.469
0.514,0.331,0.997,0.027,-84.88397249313077,0.42708420753479004,0.011,-0.469
0.864,0.051,0.988,0.043,-84.88397249313077,0.4278392791748047,0.041,-0.399
0.374,0.541,1.015,0.051,-85.43506620483636,0.44217801094055176,0.039,-0.574
0.724,0.261,1.028,0.014,-85.43506620483636,0.44374918937683105,-0.003,-0.469
0.724,0.191,1.005,0.023,-85.43506620483636,0.4522831439971924,-0.021,-0.609
0.444,0.366,1.036,0.025,-85.43506620483636,0.46265363693237305,-0.016,-0.609
0.514,0.051,0.976,0.029,-85.43506620483636,0.4895493984222412,0.043,-0.504
0.444,0.366,1.0,0.04,-85.43506620483636,0.49219179153442383,0.027,-0.504
0.584,0.296,1.012,0.018,-85.43506620483636,0.4937000274658203,-0.015,-0.504
0.549,0.086,1.007,0.026,-85.43506620483636,1.1285388469696045,0.01,-0.679
0.479,0.296,1.019,0.038,-85.25228506451518,1.129220724105835,0.019,-0.714
0.549,0.016,0.996,0.046,-85.25228506451518,1.1296496391296387,-0.007,-0.434
0.724,0.191,1.001,0.01,-85.25228506451518,1.1300392150878906,0.018,-0.714
0.689,0.121,1.018,0.016,-85.25228506451518,1.130392074584961,-0.019,-0.504
0.549,0.296,1.005,0.031,-85.25228506451518,1.1307451725006104,-0.005,-0.609
0.689,0.191,1.002,0.03,-85.25228506451518,1.1311752796173096,-0.0,-0.574
0.164,0.261,1.02,0.044,-85.25228506451518,1.1315484046936035,0.032,-0.609
0.374,0.296,1.008,0.027,-85.25228506451518,1.1319043636322021,0.027,-0.644
0.689,0.121,0.99,0.018,-85.25228506451518,1.132251262664795,0.009,-0.644
0.549,0.366,1.004,0.032,-85.1580636470299,1.13444185256958,0.018,-0.539
0.409,0.331,1.019,0.027,-85.1580636470299,1.1349127292633057,0.011,-0.679
0.654,0.121,1.035,0.022,-85.1580636470299,1.1431868076324463,0.002,-0.609
0.759,0.261,1.004,0.029,-85.1580636470299,1.794466495513916,-0.01,-0.574
0.409,0.261,1.014,0.023,-85.42607874009914,1.796734094619751,0.01,-0.609
0.514,0.261,1.022,0.031,-85.57853112633207,1.797203540802002,0.002,-0.539
0.584,0.156,1.024,0.025,-85.57853112633207,1.797518014907837,-0.008,-0.574
0.549,0.296,1.019,0.027,-85.57853112633207,1.7978196144104004,-0.014,-0.609
0.479,0.331,1.015,0.018,-85.57853112633207,1.7981090545654297,-0.015,-0.469
0.339,0.296,1.051,0.024,-85.57853112633207,1.7983908653259277,-0.013,-0.679
0.339,0.226,0.986,0.042,-85.57853112633207,1.7986958026885986,-0.013,-0.539
0.724,0.121,0.996,0.035,-85.57853112633207,1.7990036010742188,0.019,-0.539
0.339,0.366,1.008,0.034,-85.57853112633207,1.7992746829986572,0.013,-0.784
0.584,0.226,1.019,0.035,-85.57853112633207,1.799532175064087,0.019,-0.539
0.339,0.296,1.016,0.033,-85.57853112633207,1.8028624057769775,0.011,-0.504
0.549,0.226,1.005,0.024,-85.45019573405624,2.352728843688965,-0.002,-0.469
0.409,0.261,1.032,0.03,-85.01202430753635,2.354793071746826,0.004,-0.679
0.619,0.156,1.002,0.017,-85.01202430753635,2.3551297187805176,0.016,-0.469
0.479,0.331,1.033,0.035,-85.01202430753635,2.3554043769836426,-0.004,-0.539
0.339,0.436,1.016,0.039,-85.36829916306834,2.355658531188965,0.003,-0.434
0.549,0.226,1.002,0.01,-85.36829916306834,2.3559062480926514,0.001,-0.644
0.514,0.226,1.018,0.033,-85.36829916306834,2.3561482429504395,-0.016,-0.609
0.409,0.366,1.024,0.019,-85.36829916306834,2.3563876152038574,-0.021,-0.469
0.549,0.296,1.021,0.022,-85.36829916306834,2.3566253185272217,-0.004,-0.784
0.339,0.261,1.024,0.024,-85.36829916306834,2.3568665981292725,-0.003,-0.679
0.689,0.226,1.008,0.016,-85.36829916306834,2.3571035861968994,-0.032,-0.609
0.549,0.296,1.032,0.029,-85.36829916306834,2.9659461975097656,-0.003,-0.609
0.409,0.226,1.003,0.035,-85.95674792325094,2.9665687084198,0.011,-0.574
0.689,0.471,1.014,0.036,-85.30609651950066,2.9687142372131348,0.005,-0.644
0.479,0.331,1.023,0.022,-85.30609651950066,2.96909236907959,0.005,-0.714
0.689,0.156,1.038,0.034,-85.30609651950066,2.9694058895111084,0.023,-0.644
0.584,0.366,0.991,0.026,-85.30609651950066,2.969712734222412,0.022,-0.644
0.514,0.191,0.984,0.031,-85.30609651950066,2.9700160026550293,0.0,-0.504
0.654,0.051,0.98,0.025,-85.30609651950066,2.970303535461426,-0.007,-0.539
0.514,0.331,1.026,0.029,-85.30609651950066,2.9705848693847656,-0.009,-0.574
