comp,ax,time,ay,vx,az,vy,vz
-79.9782022221927,-0.037,1.381274700164795,0.043,-0.118,1.014,0.823,0.018
-80.0620098648358,-0.027,1.3832323551177979,0.049,-0.293,1.001,0.893,-0.087
-80.0620098648358,-0.028,1.3835525512695312,0.057,-0.083,1.023,0.963,-0.157
-80.0620098648358,-0.036,1.3837802410125732,0.044,-0.048,1.008,0.928,0.018
-80.0620098648358,-0.025,1.3839912414550781,0.052,-0.223,1.009,0.928,-0.052
-80.0620098648358,-0.028,1.3842124938964844,0.056,-0.188,1.019,1.068,-0.017
-80.0620098648358,-0.027,1.384416103363037,0.054,-0.048,1.007,0.928,-0.052
-80.0620098648358,-0.033,1.384627103805542,0.059,-0.153,1.0,0.823,-0.122
-80.0620098648358,-0.03,1.3848536014556885,0.048,-0.293,1.004,0.893,0.088
-80.0620098648358,-0.023,1.3851187229156494,0.054,-0.328,1.014,0.893,-0.087
-80.0620098648358,-0.029,1.3853905200958252,0.049,-0.363,1.011,1.033,-0.122
-79.65651655697481,-0.031,1.8933439254760742,0.049,-0.188,1.015,0.928,-0.157
-80.0106827103618,-0.028,1.8954031467437744,0.051,-0.118,1.006,0.753,-0.087
-80.0106827103618,-0.03,1.895885705947876,0.046,-0.328,1.012,1.068,0.088
-80.0106827103618,-0.026,1.8961937427520752,0.057,-0.223,1.014,0.858,0.018
-80.0106827103618,-0.03,1.8964803218841553,0.059,-0.153,0.998,0.858,0.228
-80.0106827103618,-0.027,1.8967492580413818,0.058,-0.538,1.01,1.173,0.228
-80.0106827103618,-0.024,1.8970134258270264,0.059,-0.223,1.019,0.788,0.263
-80.0106827103618,-0.025,1.8972792625427246,0.05,-0.293,1.003,0.998,0.123
-80.0106827103618,-0.023,1.8975389003753662,0.053,-0.293,1.02,0.718,0.123
-80.0587768536533,-0.02,1.8977997303009033,0.063,-0.083,1.0,0.683,0.123
-80.0587768536533,-0.026,1.8980686664581299,0.06,-0.258,1.014,1.033,0.053
-80.0587768536533,-0.032,1.8994112014770508,0.046,-0.258,1.013,1.173,-0.017
-80.0587768536533,-0.031,2.4805843830108643,0.049,-0.153,1.014,0.928,0.018
-80.1239592312005,-0.028,2.4827158451080322,0.052,-0.398,1.01,0.788,0.018
-80.1239592312005,-0.031,2.48310923576355,0.054,-0.118,1.013,0.998,-0.052
-80.1239592312005,-0.027,2.4833545684814453,0.053,-0.153,1.007,0.893,-0.017
-80.1239592312005,-0.023,2.4835805892944336,0.054,-0.293,1.006,1.138,0.228
-80.1239592312005,-0.028,2.4837989807128906,0.053,-0.048,1.014,1.138,0.053
-80.1239592312005,-0.033,2.4840118885040283,0.043,-0.118,1.016,0.998,0.298
-80.1239592312005,-0.031,2.4842233657836914,0.048,-0.153,1.029,0.928,0.158
-80.1239592312005,-0.034,2.484438180923462,0.057,-0.153,1.004,1.068,0.123
-80.1239592312005,-0.028,2.4846503734588623,0.052,-0.363,1.004,1.033,0.228
-80.18554561801548,-0.024,2.484882116317749,0.052,-0.258,1.016,1.243,0.193
-80.18554561801548,-0.026,3.0376555919647217,0.063,-0.153,1.005,0.893,0.123
-80.47491085029876,-0.005,3.0397114753723145,0.056,-0.293,1.019,0.858,-0.227
-80.32503463813804,-0.026,3.0400748252868652,0.055,-0.398,0.997,0.858,-0.157
-80.32503463813804,-0.031,3.0403552055358887,0.048,-0.258,1.014,0.753,-0.297
-80.32503463813804,-0.027,3.040616512298584,0.048,-0.188,1.007,0.718,-0.157
-80.32503463813804,-0.032,3.0408828258514404,0.047,-0.433,1.006,1.033,-0.017
-80.32503463813804,-0.038,3.041154146194458,0.043,-0.328,1.023,1.068,-0.087
-80.32503463813804,-0.023,3.0414111614227295,0.046,-0.223,1.002,0.788,0.158
-80.32503463813804,-0.03,3.0416653156280518,0.046,-0.118,1.006,0.928,-0.087
-80.32503463813804,-0.028,3.041912078857422,0.063,-0.223,1.023,0.893,0.158
-80.32503463813804,-0.026,3.042158365249634,0.056,0.022,0.99,0.893,0.018
-80.42275205721924,-0.025,3.545260429382324,0.049,-0.258,1.015,0.928,0.053
