vy,ax,ay,vx,az,time,comp,vz
0.683,0.086,-0.027,-0.083,1.009,1.3431987762451172,-81.14666841099024,-0.192
0.683,0.087,-0.036,0.127,1.007,1.345139741897583,-80.65965272730726,-0.052
1.068,0.091,-0.027,-0.083,1.005,1.345442771911621,-80.65965272730726,-0.192
0.718,0.09,-0.033,-0.083,1.014,1.3456923961639404,-80.65965272730726,-0.087
0.928,0.089,-0.025,-0.013,1.01,1.3459956645965576,-80.65965272730726,0.018
0.788,0.091,-0.024,-0.118,1.008,1.346222162246704,-80.65965272730726,-0.192
0.683,0.092,-0.031,-0.118,1.005,1.3464131355285645,-80.65965272730726,-0.122
0.753,0.086,-0.035,-0.048,1.01,1.3466479778289795,-80.65965272730726,-0.087
0.753,0.081,-0.035,-0.188,1.009,1.3469300270080566,-80.65965272730726,0.053
0.928,0.091,-0.035,-0.223,0.998,1.3471636772155762,-80.65965272730726,-0.052
0.578,0.082,-0.041,-0.223,1.008,1.3473825454711914,-81.38094757651052,-0.087
0.963,0.089,-0.034,-0.153,1.007,1.348677635192871,-81.38094757651052,-0.017
0.753,0.089,-0.035,-0.083,1.005,1.8080575466156006,-81.38094757651052,-0.087
0.753,0.088,-0.036,-0.013,1.017,1.809959888458252,-81.49678394179512,-0.157
0.683,0.091,-0.04,-0.083,1.001,1.8103291988372803,-81.35344133038815,-0.052
0.753,0.089,-0.028,-0.118,1.002,1.8106095790863037,-81.35344133038815,-0.157
0.928,0.09,-0.036,-0.083,1.009,1.8108646869659424,-81.35344133038815,-0.052
0.928,0.095,-0.031,-0.223,1.014,1.8111097812652588,-81.35344133038815,-0.157
0.823,0.09,-0.026,-0.013,1.005,1.8113682270050049,-81.35344133038815,-0.122
0.823,0.091,-0.039,-0.048,1.006,1.8117947578430176,-81.35344133038815,-0.017
0.683,0.089,-0.024,-0.118,1.017,1.8120474815368652,-81.35344133038815,-0.262
0.823,0.093,-0.031,-0.118,0.99,1.8122832775115967,-81.35344133038815,-0.192
0.823,0.09,-0.035,-0.153,1.01,1.8125135898590088,-81.35344133038815,-0.087
0.718,0.085,-0.034,-0.083,1.007,2.2771921157836914,-81.35344133038815,-0.052
0.963,0.09,-0.036,-0.048,1.01,2.2790229320526123,-81.27250937189856,-0.157
0.718,0.089,-0.034,-0.013,0.996,2.279341697692871,-81.27250937189856,-0.017
0.858,0.091,-0.03,-0.048,1.017,2.279607057571411,-81.27250937189856,-0.052
0.718,0.09,-0.028,-0.223,1.009,2.279853343963623,-80.41578935115803,-0.017
0.963,0.094,-0.032,-0.293,1.0,2.2800960540771484,-80.41578935115803,0.018
0.858,0.089,-0.026,-0.153,1.013,2.2803449630737305,-80.41578935115803,-0.017
0.543,0.09,-0.024,-0.188,1.019,2.2805938720703125,-80.41578935115803,-0.122
0.823,0.087,-0.034,-0.153,0.999,2.2808306217193604,-80.41578935115803,-0.052
0.718,0.084,-0.028,-0.118,1.026,2.2810685634613037,-80.41578935115803,-0.017
0.718,0.092,-0.035,-0.048,1.004,2.281315326690674,-80.41578935115803,-0.122
0.858,0.083,-0.042,-0.188,1.001,2.754897356033325,-80.41578935115803,-0.087
0.718,0.087,-0.032,-0.118,1.004,2.757005214691162,-80.720164903568,-0.052
1.033,0.091,-0.032,-0.048,1.008,2.757378578186035,-80.720164903568,-0.087
0.718,0.09,-0.041,0.022,1.004,2.7575974464416504,-80.720164903568,-0.157
0.858,0.082,-0.037,-0.153,1.016,2.7577967643737793,-80.720164903568,-0.087
0.788,0.086,-0.025,-0.153,1.01,2.7579898834228516,-80.720164903568,-0.192
0.753,0.091,-0.026,-0.153,1.007,2.758179187774658,-80.720164903568,-0.017
0.683,0.087,-0.032,-0.083,1.013,2.7584762573242188,-80.69486002994216,-0.087
0.928,0.087,-0.035,-0.083,1.004,2.7587616443634033,-80.69486002994216,-0.157
0.893,0.088,-0.031,-0.118,1.01,2.7589550018310547,-80.69486002994216,-0.157
0.893,0.085,-0.041,-0.048,1.017,2.7591559886932373,-80.69486002994216,-0.087
0.683,0.086,-0.033,-0.118,1.008,3.22352933883667,-80.69486002994216,-0.122
0.928,0.094,-0.024,-0.083,1.014,3.2252981662750244,-81.87218426353499,-0.052
0.613,0.091,-0.037,-0.013,0.995,3.2256100177764893,-81.87218426353499,-0.087
1.208,0.085,-0.034,-0.293,1.015,3.2258405685424805,-81.87218426353499,0.018
0.613,0.091,-0.036,-0.118,1.008,3.2260549068450928,-81.87218426353499,-0.087
0.543,0.095,-0.034,-0.083,0.998,3.226325750350952,-81.87218426353499,-0.157
1.033,0.088,-0.026,-0.153,1.017,3.226652145385742,-81.87218426353499,-0.122
0.543,0.09,-0.029,-0.118,1.007,3.2268707752227783,-81.87218426353499,-0.087
0.788,0.089,-0.036,-0.223,1.004,3.2270901203155518,-81.19712922479403,-0.122
0.893,0.089,-0.028,-0.118,1.015,3.2272846698760986,-81.19712922479403,-0.122
0.788,0.094,-0.024,-0.153,1.016,3.2274680137634277,-81.19712922479403,-0.157
0.823,0.088,-0.028,-0.083,1.001,3.228374481201172,-81.19712922479403,-0.192
0.578,0.083,-0.039,-0.013,1.02,3.7243175506591797,-81.19712922479403,-0.227
0.893,0.085,-0.03,0.022,1.021,3.7248730659484863,-81.0803017079974,-0.087
0.753,0.087,-0.03,-0.153,1.006,3.7270431518554688,-81.0803017079974,-0.087
0.928,0.091,-0.034,-0.048,1.005,3.7273306846618652,-81.0803017079974,0.053
0.718,0.091,-0.029,-0.048,1.011,3.7275617122650146,-81.0803017079974,-0.157
0.893,0.091,-0.041,-0.118,0.999,3.7278168201446533,-81.0803017079974,-0.122
0.683,0.087,-0.034,-0.153,1.011,3.728037118911743,-81.0803017079974,-0.122
0.613,0.089,-0.023,-0.013,1.009,3.7282543182373047,-81.86053252995602,-0.122
0.788,0.088,-0.033,-0.083,1.003,3.7285521030426025,-81.86053252995602,-0.122
0.823,0.086,-0.037,-0.118,1.012,3.728829860687256,-81.86053252995602,-0.122
0.893,0.089,-0.033,-0.118,1.009,3.7290892601013184,-81.86053252995602,-0.087
0.753,0.09,-0.031,-0.048,1.004,3.72933292388916,-81.86053252995602,-0.017
0.543,0.088,-0.033,0.022,1.008,4.238409996032715,-81.86053252995602,-0.122
0.683,0.086,-0.042,-0.013,1.007,4.240339756011963,-81.50865439501058,-0.297
0.543,0.078,-0.055,-0.118,1.019,4.240648508071899,-81.50865439501058,-0.227
1.033,0.062,-0.057,-0.538,1.035,4.240900993347168,-81.50865439501058,-0.437
0.473,0.121,-0.024,-0.923,0.96,4.241139650344849,-81.50865439501058,-0.472
0.508,0.105,-0.036,-1.588,1.037,4.241374492645264,-81.84672911515652,-0.997
0.228,0.082,-0.028,-2.323,0.99,4.241609334945679,-81.84672911515652,-1.137
-1.487,0.097,-0.021,-3.128,0.966,4.241838216781616,-81.84672911515652,-1.417
-0.577,0.077,-0.031,-2.533,0.988,4.242063522338867,-81.84672911515652,-0.857
-1.382,0.067,-0.001,-3.058,0.997,4.242306709289551,-81.84672911515652,-0.297
0.508,0.064,0.007,-4.458,1.024,4.242573261260986,-81.84672911515652,0.823
2.013,0.034,-0.107,-2.463,0.984,4.242831468582153,-81.84672911515652,2.258
1.908,0.103,-0.037,-2.113,0.984,4.739473581314087,-81.84672911515652,2.713
-6.212,0.147,-0.138,-3.583,1.065,4.740005254745483,-83.01129035584114,-1.487
-3.132,0.132,-0.156,-4.038,1.005,4.74040961265564,-83.01129035584114,-3.657
0.998,0.133,-0.139,0.512,0.987,4.740662097930908,-82.93976475869349,-4.672
0.543,0.157,-0.075,1.912,0.921,4.7408716678619385,-82.93976475869349,-5.442
-2.187,0.18,-0.114,1.562,0.93,4.741104364395142,-82.93976475869349,-7.052
-3.622,0.202,-0.108,-2.288,0.999,4.741334676742554,-82.93976475869349,-9.607
-1.872,0.132,-0.097,-2.883,1.0,4.743072986602783,-82.93976475869349,-11.147
-1.767,0.169,-0.149,-3.128,1.067,4.7433154582977295,-82.93976475869349,-12.652
1.173,0.154,-0.117,3.522,1.024,4.743535757064819,-82.93976475869349,-13.632
-7.787,0.156,-0.133,3.522,1.008,4.743764638900757,-82.93976475869349,-14.332
1.278,0.217,-0.096,4.012,0.895,4.749017000198364,-82.93976475869349,-14.647
0.193,0.158,-0.179,1.702,1.031,5.21729040145874,-82.23407098396491,-15.977
25.078,0.125,-0.12,32.012,0.823,5.219111919403076,-78.73812100605728,-1.347
21.613,0.189,-0.057,34.847,1.031,5.219380855560303,-78.73812100605728,-0.787
26.093,0.089,-0.135,42.967,1.001,5.219624996185303,-78.73812100605728,1.838
27.178,0.176,-0.134,43.107,0.995,5.219825267791748,-78.73812100605728,1.698
38.833,0.123,-0.065,47.202,1.008,5.220017910003662,-78.02722314807707,1.698
41.353,0.165,-0.054,46.012,1.008,5.220202445983887,-78.02722314807707,-0.577
42.193,0.113,-0.027,45.312,0.918,5.220383882522583,-78.02722314807707,-2.257
44.993,0.218,-0.035,42.442,1.087,5.220564842224121,-78.02722314807707,-7.612
41.598,0.028,0.022,33.202,1.112,5.220745325088501,-78.02722314807707,-17.587
34.948,0.116,0.023,32.432,1.379,5.220948934555054,-78.02722314807707,-19.827
30.328,0.106,0.028,20.322,0.861,5.221140384674072,-78.02722314807707,-23.922
19.023,0.022,0.199,3.907,0.999,5.699415445327759,-78.02722314807707,-27.282
-22.872,0.043,0.04,20.497,1.179,5.701310396194458,-79.09185462507949,7.473
-24.202,0.219,0.156,21.197,1.162,5.701597690582275,-79.09185462507949,7.438
-20.142,0.054,-0.032,16.017,1.069,5.7018303871154785,-79.09185462507949,7.508
-19.757,0.083,0.092,17.802,1.06,5.7020487785339355,-79.09185462507949,6.003
-18.077,0.084,0.151,23.507,0.924,5.7022624015808105,-79.09185462507949,6.073
-15.767,0.07,0.175,9.262,1.151,5.702473878860474,-79.61736370311854,5.653
-15.872,0.113,0.227,1.527,1.004,5.7026848793029785,-79.61736370311854,4.323
-15.802,0.037,0.136,-3.478,1.051,5.702892541885376,-79.61736370311854,2.853
-18.077,0.158,0.147,-0.398,0.943,5.703098773956299,-79.61736370311854,1.558
-17.797,0.118,0.128,5.797,0.902,5.703304767608643,-79.61736370311854,1.313
-19.127,0.203,0.132,11.012,0.884,6.173602104187012,-79.61736370311854,2.083
3.868,0.164,0.134,-4.843,1.041,6.175404787063599,-81.76189441935843,16.748
7.788,0.126,0.13,-8.168,1.002,6.175715446472168,-81.76189441935843,13.458
8.033,0.156,0.176,-7.993,1.006,6.175949811935425,-81.76189441935843,12.373
8.698,0.1,0.113,-8.238,0.947,6.176159858703613,-81.76189441935843,11.043
7.438,0.153,0.183,-4.038,0.983,6.176400899887085,-81.76189441935843,9.643
6.983,0.114,0.128,-3.093,1.064,6.176637411117554,-81.76189441935843,9.468
8.908,0.149,0.112,-0.398,1.02,6.17686653137207,-81.98924455441743,9.748
8.103,0.144,0.153,-1.413,1.119,6.177098989486694,-81.98924455441743,10.133
7.053,0.135,0.141,-2.848,1.038,6.177332878112793,-81.98924455441743,10.273
7.753,0.151,0.157,-4.598,1.026,6.177565813064575,-81.98924455441743,12.128
10.273,0.152,0.126,-5.823,0.93,6.622549772262573,-81.98924455441743,13.318
-1.207,0.112,0.045,-21.293,1.016,6.6244871616363525,-82.17603933069306,-19.617
2.328,0.136,0.02,-22.413,0.934,6.624891519546509,-82.8910841893693,-21.647
4.008,0.161,0.056,-23.358,0.881,6.625149488449097,-82.8910841893693,-23.152
0.683,0.191,0.032,-22.553,0.909,6.625365972518921,-82.8910841893693,-25.427
-3.937,0.141,0.023,-20.173,1.019,6.625662326812744,-82.8910841893693,-27.317
-8.802,0.19,0.04,-20.593,1.017,6.625915765762329,-82.8910841893693,-28.367
-7.892,0.228,0.043,-15.868,1.059,6.62616229057312,-82.8910841893693,-28.017
-2.782,0.166,0.047,-16.708,1.048,6.626428127288818,-82.8910841893693,-25.742
-2.082,0.147,0.081,-19.403,1.081,6.6266930103302,-82.8910841893693,-24.867
-0.577,0.135,0.078,-23.148,1.073,6.626931190490723,-82.8910841893693,-23.467
6.913,0.116,0.044,-21.328,0.959,6.627166271209717,-80.94163982719385,-20.177
9.818,0.114,0.031,-17.443,1.039,6.628311634063721,-80.94163982719385,-18.742
9.363,0.052,0.108,-10.793,1.052,7.105794668197632,-80.94163982719385,-15.312
-4.357,0.093,-0.128,-8.693,1.041,7.107754468917847,-81.88413733891008,-2.922
4.813,0.153,-0.129,-6.173,0.917,7.108066082000732,-82.28862855120599,-0.437
6.178,0.115,-0.165,-6.173,0.985,7.108280658721924,-82.28862855120599,0.403
6.213,0.172,-0.202,-5.648,0.834,7.108476877212524,-82.28862855120599,1.138
2.258,0.211,-0.146,-0.993,0.956,7.108674049377441,-82.28862855120599,0.928
0.263,0.166,-0.102,-2.778,1.019,7.108864784240723,-82.28862855120599,1.103
-1.627,0.197,-0.089,-3.303,0.956,7.109106540679932,-82.28862855120599,1.628
-0.332,0.188,-0.111,-5.543,1.068,7.1093714237213135,-82.28862855120599,1.173
-0.752,0.204,-0.111,-7.328,1.005,7.10957407951355,-82.28862855120599,1.103
-1.417,0.229,-0.18,-6.243,1.003,7.109795808792114,-82.28862855120599,1.068
-5.022,0.21,-0.19,-2.498,0.93,7.115110397338867,-82.11063479856583,-0.647
-7.122,0.213,-0.19,-3.338,0.925,7.555501461029053,-82.11063479856583,-1.102
12.128,0.092,-0.111,4.362,0.784,7.557411193847656,-79.8795208793949,-20.527
13.143,0.161,-0.167,14.967,1.063,7.55773663520813,-79.8795208793949,-17.622
20.703,0.059,-0.152,24.277,1.07,7.557996034622192,-79.8795208793949,-14.647
19.303,0.173,-0.185,23.367,1.079,7.558244228363037,-79.8795208793949,-13.632
18.043,0.218,-0.133,25.222,0.981,7.5584845542907715,-79.8795208793949,-11.742
21.228,0.149,-0.156,24.557,1.207,7.558722734451294,-78.8437277360177,-8.942
21.683,0.207,-0.156,23.262,1.174,7.558964967727661,-78.8437277360177,-7.857
24.098,0.242,-0.187,23.297,1.12,7.559231758117676,-78.8437277360177,-4.917
