vz,time,vx,comp,ax,ay,vy,az
-0.087,1.434579610824585,-0.153,-81.45523027473944,0.066,-0.015,0.893,1.007
-0.157,1.4365808963775635,-0.153,-81.9733959444123,0.066,-0.012,0.963,1.016
-0.192,1.436899185180664,-0.188,-81.9733959444123,0.069,-0.016,0.928,0.994
-0.052,1.4371585845947266,0.092,-81.9733959444123,0.071,-0.005,0.613,1.018
-0.227,1.4374825954437256,-0.013,-81.9733959444123,0.07,-0.011,0.998,1.005
-0.122,1.4377799034118652,-0.153,-81.62449605247924,0.066,-0.015,0.963,1.013
-0.157,1.4380035400390625,-0.188,-81.62449605247924,0.064,-0.015,0.963,1.018
-0.192,1.4382421970367432,-0.293,-81.62449605247924,0.073,-0.003,0.823,0.997
-0.017,1.4384469985961914,-0.118,-81.62449605247924,0.075,-0.008,0.788,1.006
-0.157,1.4386389255523682,-0.153,-81.62449605247924,0.068,-0.017,0.823,1.008
-0.157,1.438826084136963,-0.118,-81.62449605247924,0.067,-0.007,0.683,1.018
-0.157,1.4402990341186523,-0.153,-81.62449605247924,0.075,-0.009,0.858,1.005
-0.087,1.9432601928710938,-0.083,-81.62449605247924,0.072,-0.014,0.928,1.013
-0.122,1.9438369274139404,-0.328,-81.51056259454148,0.068,-0.011,0.858,0.996
-0.017,1.944164514541626,-0.083,-81.51056259454148,0.068,-0.012,0.893,1.013
-0.297,1.9458763599395752,-0.013,-81.29777621005321,0.069,-0.012,0.788,1.013
-0.157,1.9461545944213867,-0.083,-81.29777621005321,0.067,-0.009,0.683,1.005
-0.227,1.9464302062988281,-0.118,-81.29777621005321,0.07,-0.009,0.928,1.018
-0.157,1.9466795921325684,-0.118,-81.29777621005321,0.072,-0.009,0.683,1.006
-0.122,1.9469325542449951,0.022,-81.29777621005321,0.07,-0.013,0.893,1.01
-0.192,1.9471766948699951,-0.118,-81.29777621005321,0.068,-0.013,0.753,1.014
0.018,1.9474172592163086,-0.188,-81.29777621005321,0.069,-0.015,1.068,0.986
-0.052,1.94765305519104,-0.153,-81.29777621005321,0.063,-0.016,1.033,1.023
-0.052,2.542994260787964,-0.153,-81.29777621005321,0.062,-0.007,0.858,1.015
-0.052,2.543738603591919,-0.258,-81.8768789763216,0.061,-0.023,0.893,1.001
-0.017,2.54419207572937,-0.223,-81.89554168427668,0.069,-0.013,0.823,1.023
-0.227,2.5464272499084473,-0.013,-81.89554168427668,0.065,-0.01,0.823,1.012
