ay,vy,time,ax,vx,az,vz,comp
-0.009,1.127,0.40070462226867676,0.037,0.147,1.009,-0.556,-74.38145756252989
-0.014,0.882,0.4037513732910156,0.034,0.077,1.01,-0.381,-74.38145756252989
-0.013,0.987,0.4094691276550293,0.038,-0.203,1.012,-0.521,-74.38145756252989
-0.009,0.742,0.4099857807159424,0.036,0.007,1.013,-0.381,-74.38145756252989
-0.013,1.022,0.4103724956512451,0.038,0.077,1.011,-0.486,-74.38145756252989
-0.014,1.057,0.4111053943634033,0.041,0.112,1.009,-0.486,-74.38145756252989
-0.011,0.882,0.4114663600921631,0.027,-0.133,1.01,-0.451,-74.38145756252989
-0.013,1.232,0.41182494163513184,0.045,0.077,1.012,-0.521,-74.2613765583489
-0.017,0.812,0.41216540336608887,0.039,0.007,1.011,-0.486,-74.2613765583489
-0.01,1.162,0.41246843338012695,0.037,-0.098,1.012,-0.416,-74.2613765583489
-0.014,0.917,0.4128568172454834,0.033,0.112,1.01,-0.626,-74.2613765583489
-0.014,1.022,0.41326284408569336,0.041,0.007,1.013,-0.416,-74.2613765583489
-0.01,1.022,0.4136672019958496,0.037,-0.063,1.011,-0.486,-74.2613765583489
-0.009,0.952,0.41406798362731934,0.041,-0.063,1.013,-0.381,-74.2613765583489
-0.011,0.987,0.42170190811157227,0.04,0.042,1.014,-0.626,-74.2613765583489
-0.015,1.022,0.4318966865539551,0.033,0.077,1.008,-0.451,-74.2613765583489
-0.01,1.022,0.44165682792663574,0.034,-0.063,1.011,-0.486,-74.2613765583489
-0.012,1.302,0.4520735740661621,0.042,0.042,1.018,-0.556,-74.71817827906213
-0.013,0.917,0.4616379737854004,0.035,0.007,1.011,-0.381,-74.71817827906213
-0.014,1.162,0.4772369861602783,0.033,-0.203,1.01,-0.451,-74.71817827906213
-0.01,0.987,0.4837324619293213,0.034,-0.168,1.008,-0.486,-74.71817827906213
-0.015,1.267,0.4948008060455322,0.042,0.042,1.015,-0.451,-74.71817827906213
-0.014,0.987,0.5052554607391357,0.035,-0.028,1.008,-0.521,-74.71817827906213
-0.012,1.022,0.5176510810852051,0.03,-0.063,1.009,-0.346,-74.71817827906213
-0.011,0.987,0.521622896194458,0.041,0.042,1.013,-0.521,-74.71817827906213
-0.014,0.777,0.5321757793426514,0.045,0.182,1.017,-0.521,-74.71817827906213
-0.011,1.302,0.5418968200683594,0.03,-0.133,1.004,-0.311,-74.71817827906213
-0.01,0.672,0.5513801574707031,0.039,0.042,1.012,-0.626,-74.03778290872623
