vz,time,comp,ax,ay,vy,vx,az
-0.416,1.0899484157562256,-73.14041716605855,0.038,-0.016,1.302,0.007,1.01
-0.661,1.0906589031219482,-73.35536402186437,0.039,-0.013,0.672,-0.203,1.008
-0.381,1.091083288192749,-73.35536402186437,0.034,-0.01,1.232,0.007,1.008
-0.486,1.091505765914917,-73.35536402186437,0.037,-0.011,1.162,-0.168,1.014
-0.591,1.091876745223999,-73.35536402186437,0.036,-0.01,1.162,-0.028,1.01
-0.416,1.092247724533081,-73.35536402186437,0.036,-0.013,0.952,0.007,1.009
-0.416,1.0926380157470703,-73.35536402186437,0.039,-0.014,0.987,-0.028,1.012
-0.521,1.092998743057251,-73.35536402186437,0.037,-0.01,0.952,0.042,1.01
-0.451,1.0933561325073242,-73.35536402186437,0.035,-0.012,1.337,-0.133,1.01
-0.556,1.093719720840454,-73.35536402186437,0.039,-0.008,1.302,-0.063,1.01
-0.521,1.0972626209259033,-73.35536402186437,0.036,-0.013,1.127,0.007,1.01
-0.521,1.1072015762329102,-72.84298083419655,0.032,-0.015,1.057,0.007,1.009
-0.556,1.806612253189087,-72.84298083419655,0.038,-0.014,1.022,0.007,1.012
-0.556,1.8073277473449707,-73.57984143935275,0.032,-0.015,0.917,-0.133,1.012
-0.346,2.478999137878418,-73.57984143935275,0.036,-0.013,0.602,0.147,1.011
-0.556,2.4817986488342285,-74.05746731328261,0.038,-0.009,0.742,0.112,1.008
-0.241,2.4822349548339844,-74.05746731328261,0.036,-0.019,1.337,0.112,1.013
-0.556,2.4825406074523926,-74.05746731328261,0.038,-0.013,0.987,-0.168,1.012
-0.521,2.482818126678467,-74.05746731328261,0.036,-0.006,0.882,0.042,1.003
-0.276,2.4830758571624756,-74.05746731328261,0.032,-0.013,1.022,-0.203,1.011
-0.661,2.4833219051361084,-74.05746731328261,0.039,-0.014,1.232,0.042,1.015
-0.276,2.4835948944091797,-74.05746731328261,0.042,-0.017,0.882,-0.028,1.01
-0.486,2.4838593006134033,-74.05746731328261,0.036,-0.011,0.882,-0.133,1.011
-0.346,2.484135866165161,-74.05746731328261,0.034,-0.009,1.162,0.217,1.012
-0.311,2.4844446182250977,-74.4440005943424,0.037,-0.017,0.847,-0.133,1.01
-0.556,2.487093448638916,-74.4440005943424,0.036,-0.008,1.197,-0.063,1.006
-0.136,3.122523307800293,-74.4440005943424,0.034,-0.012,1.022,-0.028,1.007
-0.486,3.123167037963867,-73.48259065562549,0.035,-0.011,0.917,0.042,1.01
-0.521,3.1252527236938477,-73.48259065562549,0.039,-0.015,1.127,-0.028,1.011
-0.346,3.125589370727539,-73.48259065562549,0.039,-0.008,0.987,-0.028,1.009
-0.626,3.125903367996216,-73.48259065562549,0.028,-0.015,0.777,-0.098,1.01
-0.346,3.126206874847412,-73.82980572530141,0.044,-0.013,1.547,-0.308,1.013
-0.556,3.1265101432800293,-73.82980572530141,0.036,-0.006,0.917,0.112,1.01
-0.521,3.126838207244873,-73.82980572530141,0.033,-0.009,1.162,0.357,1.011
-0.416,3.1271400451660156,-73.82980572530141,0.044,-0.021,0.882,-0.133,1.01
