vx,comp,vz,vy,az,ay,ax,time
0.077,-73.35716837784054,-0.486,1.092,1.011,-0.01,0.04,0.3819618225097656
0.007,-73.35716837784054,-0.416,1.092,1.012,-0.012,0.036,0.3851139545440674
-0.063,-73.35716837784054,-0.521,1.057,1.007,-0.011,0.037,0.39168548583984375
0.112,-73.35716837784054,-0.451,0.987,1.015,-0.012,0.036,0.3922915458679199
0.077,-73.35716837784054,-0.451,1.092,1.009,-0.015,0.036,0.39278197288513184
0.007,-73.35716837784054,-0.416,1.127,1.008,-0.014,0.035,0.39344048500061035
-0.063,-73.07588354962691,-0.346,0.847,1.007,-0.009,0.03,0.3940873146057129
0.077,-73.07588354962691,-0.556,1.127,1.013,-0.011,0.039,0.3945610523223877
-0.063,-73.07588354962691,-0.451,0.952,1.012,-0.012,0.038,0.3952031135559082
0.007,-73.07588354962691,-0.381,1.267,1.011,-0.01,0.036,0.3957386016845703
-0.133,-73.07588354962691,-0.486,0.987,1.014,-0.011,0.041,0.3963451385498047
0.042,-73.07588354962691,-0.346,1.127,1.009,-0.016,0.032,0.3968386650085449
0.042,-73.07588354962691,-0.416,0.847,1.008,-0.012,0.037,0.40969181060791016
-0.028,-73.07588354962691,-0.381,1.092,1.011,-0.012,0.037,0.4128715991973877
-0.028,-73.07588354962691,-0.451,1.022,1.013,-0.013,0.04,0.4268782138824463
-0.063,-73.07588354962691,-0.591,1.267,1.01,-0.009,0.034,0.43470263481140137
-0.063,-72.93886397758003,-0.521,0.952,1.01,-0.013,0.036,0.44500231742858887
0.007,-72.93886397758003,-0.591,1.162,1.014,-0.014,0.041,0.4586498737335205
0.077,-72.93886397758003,-0.451,1.022,1.009,-0.015,0.035,0.46268272399902344
0.042,-72.93886397758003,-0.521,0.917,1.011,-0.015,0.036,0.4739253520965576
-0.203,-72.93886397758003,-0.416,1.127,1.012,-0.011,0.039,0.4844546318054199
0.042,-72.93886397758003,-0.381,1.162,1.013,-0.013,0.04,0.4938075542449951
0.007,-72.93886397758003,-0.416,1.337,1.011,-0.014,0.032,0.5036308765411377
-0.063,-72.93886397758003,-0.381,0.847,1.012,-0.011,0.038,0.5147416591644287
