az,ax,vx,comp,time,vy,vz,ay
1.011,0.039,-0.098,-73.93235550665153,1.4592173099517822,1.197,-0.486,-0.01
1.012,0.037,0.217,-74.24529954328904,1.4600865840911865,1.407,-0.556,-0.006
1.007,0.034,-0.028,-74.24529954328904,1.4605607986450195,0.917,-0.381,-0.013
1.011,0.04,-0.308,-74.24529954328904,1.4608867168426514,1.127,-0.416,-0.018
1.011,0.038,0.077,-74.24529954328904,1.4611504077911377,1.092,-0.521,-0.014
1.012,0.041,0.357,-74.24529954328904,1.4615426063537598,1.127,-0.486,-0.008
1.01,0.037,0.182,-74.24529954328904,1.461923599243164,1.162,-0.521,-0.009
1.011,0.035,-0.063,-74.24529954328904,1.462251901626587,0.847,-0.416,-0.018
1.012,0.037,-0.028,-74.24529954328904,1.4625635147094727,1.267,-0.521,-0.014
1.012,0.039,0.217,-74.24529954328904,1.4628679752349854,1.057,-0.521,-0.008
1.012,0.039,0.077,-74.24529954328904,1.4631636142730713,1.197,-0.416,-0.009
1.01,0.036,0.007,-73.7177226099781,1.4677035808563232,0.987,-0.591,-0.015
1.01,0.038,-0.098,-73.7177226099781,1.4723169803619385,0.952,-0.521,-0.015
1.007,0.036,0.007,-73.7177226099781,1.4820785522460938,1.267,-0.521,-0.011
1.007,0.039,0.217,-73.7177226099781,1.492220163345337,1.162,-0.486,-0.008
1.009,0.036,-0.133,-73.7177226099781,1.502441644668579,0.987,-0.486,-0.016
1.012,0.038,-0.063,-73.7177226099781,1.5122675895690918,1.232,-0.451,-0.013
1.011,0.038,0.217,-73.7177226099781,2.1676132678985596,1.092,-0.521,-0.007
1.009,0.039,0.007,-73.21859731294356,2.1700143814086914,1.022,-0.381,-0.009
1.011,0.037,0.217,-73.21859731294356,2.1705644130706787,1.267,-0.451,-0.014
1.012,0.039,0.147,-73.21859731294356,2.1709420680999756,0.952,-0.416,-0.015
1.006,0.038,-0.063,-73.21859731294356,2.171306610107422,1.057,-0.486,-0.016
1.011,0.036,0.042,-73.21859731294356,2.171644687652588,1.057,-0.626,-0.013
1.01,0.036,0.182,-73.21859731294356,2.1719741821289062,1.057,-0.451,-0.009
1.01,0.033,0.077,-73.21859731294356,2.172301769256592,1.162,-0.556,-0.011
1.014,0.04,0.007,-73.19537177456525,2.1726245880126953,1.092,-0.521,-0.014
1.01,0.035,-0.028,-73.19537177456525,2.1729466915130615,1.057,-0.381,-0.01
1.008,0.036,-0.028,-73.19537177456525,2.1732659339904785,1.232,-0.486,-0.012
1.009,0.037,0.147,-73.19537177456525,2.1735916137695312,1.092,-0.556,-0.011
1.012,0.039,0.077,-73.19537177456525,2.834280490875244,1.127,-0.556,-0.014
1.009,0.035,0.077,-72.97947438848014,2.8365743160247803,1.092,-0.591,-0.009
1.009,0.037,0.007,-72.97947438848014,2.8370096683502197,0.882,-0.381,-0.01
1.012,0.037,-0.063,-72.97947438848014,2.8373186588287354,1.127,-0.521,-0.014
1.011,0.038,0.077,-72.97947438848014,2.8376457691192627,1.092,-0.591,-0.013
1.01,0.038,-0.098,-72.97947438848014,2.837925434112549,1.197,-0.346,-0.009
1.008,0.034,0.077,-72.97947438848014,2.838192939758301,1.127,-0.626,-0.012
1.011,0.038,0.042,-72.97947438848014,2.8384668827056885,1.092,-0.451,-0.012
1.01,0.034,0.042,-72.97947438848014,2.8387856483459473,1.232,-0.451,-0.012
1.013,0.037,0.007,-72.97947438848014,2.839169502258301,1.092,-0.451,-0.011
1.01,0.041,-0.063,-73.20982898600815,2.839500904083252,0.987,-0.416,-0.01
1.01,0.036,0.077,-73.20982898600815,2.8421542644500732,1.092,-0.521,-0.012
1.01,0.04,0.042,-73.20982898600815,3.4589009284973145,1.057,-0.346,-0.013
1.009,0.038,0.112,-72.96790633345664,3.461284637451172,1.092,-0.311,-0.011
1.013,0.04,0.007,-72.96790633345664,3.461833953857422,0.882,-0.521,-0.013
1.012,0.037,0.112,-72.96790633345664,3.462214946746826,1.127,-0.521,-0.01
1.01,0.036,0.147,-72.96790633345664,3.4625749588012695,0.987,-0.451,-0.013
1.01,0.036,-0.273,-72.96790633345664,3.462926149368286,1.162,-0.381,-0.015
1.012,0.04,0.112,-73.00537898003864,3.463273525238037,0.952,-0.521,-0.01
1.012,0.039,-0.098,-73.00537898003864,3.463611364364624,1.162,-0.241,-0.011
1.009,0.035,0.112,-73.00537898003864,3.4639439582824707,1.092,-0.626,-0.012
1.01,0.037,-0.098,-73.00537898003864,3.464279890060425,0.952,-0.591,-0.011
1.012,0.04,-0.098,-73.00537898003864,3.4646193981170654,1.302,-0.381,-0.011
1.01,0.041,0.077,-73.00537898003864,3.4649670124053955,1.197,-0.626,-0.011
1.01,0.036,0.182,-73.00537898003864,4.123228073120117,0.847,-0.556,-0.011
1.015,0.029,-1.008,-73.46182391748452,4.123894691467285,0.672,-0.626,0.005
1.005,0.052,0.952,-73.46182391748452,4.1242499351501465,2.142,-0.136,-0.024
1.006,0.017,0.462,-73.46182391748452,4.126188039779663,2.317,-0.241,-0.038
1.017,0.068,-0.168,-73.46182391748452,4.126457691192627,0.182,-1.081,-0.001
1.001,0.047,-0.343,-73.46182391748452,4.126712322235107,0.777,-0.276,0.0
1.025,0.035,-0.308,-73.46182391748452,4.126959562301636,0.777,-0.276,-0.009
1.025,0.036,-0.308,-73.46182391748452,4.127209424972534,0.777,-0.276,-0.016
0.996,0.024,0.182,-72.90175298287036,4.127450227737427,1.232,-0.346,-0.018
0.996,0.028,0.637,-72.90175298287036,4.127732038497925,0.952,-0.976,-0.016
1.016,0.047,-0.028,-72.90175298287036,4.1279826164245605,1.617,-0.661,-0.019
1.013,0.024,-0.623,-72.90175298287036,4.831032991409302,0.707,-0.066,-0.008
0.992,0.066,0.532,-73.90302831640884,4.831662654876709,0.322,-0.521,0.005
0.987,0.013,0.112,-73.90302831640884,4.833856821060181,-1.498,-0.381,0.027
1.041,0.035,1.442,-73.90302831640884,4.8342125415802,3.192,-0.416,-0.011
0.99,0.061,0.112,-73.90302831640884,4.83448338508606,2.317,-0.521,-0.001
0.977,0.02,0.462,-73.90302831640884,4.834743499755859,-0.833,-0.626,0.023
1.044,0.034,0.112,-73.85065700299374,4.835008144378662,3.262,-0.206,-0.03
1.013,0.069,-0.728,-73.85065700299374,4.835256338119507,2.772,-0.416,-0.03
0.968,0.022,0.952,-73.85065700299374,4.835502862930298,0.077,-0.591,0.003
1.018,0.02,-1.183,-73.85065700299374,4.835745096206665,2.667,-0.171,-0.024
1.007,0.018,0.567,-73.85065700299374,4.83598780632019,-0.343,-0.871,-0.008
0.989,0.057,-0.238,-73.85065700299374,5.510538101196289,-0.098,-0.591,0.008
0.978,-0.002,0.812,-75.01638869911876,5.512840032577515,1.722,-1.116,0.0
1.043,0.08,1.302,-75.01638869911876,5.513268947601318,2.527,-0.556,-0.029
1.037,0.053,-0.588,-75.01638869911876,5.51362681388855,0.497,-0.311,-0.058
0.974,-0.003,-0.763,-75.01638869911876,5.513931035995483,0.567,-0.031,-0.008
1.014,0.057,1.267,-76.03665188652522,5.514232158660889,0.392,-0.836,-0.005
1.007,0.036,0.427,-76.03665188652522,5.514525890350342,1.442,-0.486,-0.02
1.016,0.039,0.287,-76.03665188652522,5.514808654785156,1.302,-0.661,-0.014
1.01,0.058,0.357,-76.03665188652522,5.515092611312866,2.212,-0.311,0.012
1.024,0.031,0.147,-76.03665188652522,5.5153796672821045,2.317,-0.101,-0.01
1.009,0.026,0.707,-76.03665188652522,5.515676259994507,1.057,-0.591,-0.026
1.011,0.042,-0.448,-76.03665188652522,6.132382154464722,0.217,-0.661,0.018
1.005,0.033,0.007,-73.45171481442539,6.134641408920288,0.987,-0.696,-0.009
1.009,0.026,-0.063,-73.45171481442539,6.135029554367065,2.247,-0.101,-0.019
1.007,0.044,-0.098,-73.45171481442539,6.135385990142822,1.652,-0.591,-0.019
1.002,0.041,-0.203,-72.67981382903803,6.135727643966675,-0.168,-0.556,-0.0
1.006,0.031,0.497,-72.67981382903803,6.136051654815674,1.862,-0.416,-0.008
1.012,0.039,0.882,-72.67981382903803,6.13637113571167,0.742,-0.696,-0.026
1.007,0.042,0.182,-72.67981382903803,6.136690616607666,1.582,-0.696,-0.02
1.007,0.044,-0.203,-72.67981382903803,6.137068033218384,0.532,-0.101,0.008
1.001,0.033,-0.063,-72.67981382903803,6.13748025894165,0.567,-0.276,-0.018
1.004,0.03,0.427,-72.67981382903803,6.137781858444214,1.792,-0.871,-0.014
1.022,0.048,-0.133,-72.67981382903803,6.138065576553345,1.442,-0.241,-0.006
1.006,0.02,-0.273,-72.67981382903803,6.14178204536438,1.757,-0.206,-0.003
1.005,0.035,0.007,-72.49087142411892,6.766947507858276,1.057,-0.171,-0.018
1.017,0.029,0.462,-73.74870321753559,6.76774263381958,0.007,-0.486,-0.017
0.993,0.004,-0.658,-73.74870321753559,6.7682204246521,0.182,-0.591,-0.021
0.995,0.029,0.217,-73.74870321753559,6.768629550933838,1.652,-0.731,-0.01
1.005,0.035,-0.518,-73.74870321753559,6.769031524658203,0.077,-0.416,-0.011
1.006,0.037,0.287,-73.74870321753559,6.7693705558776855,0.147,-0.556,-0.024
0.999,0.021,0.742,-73.74870321753559,6.7697670459747314,-0.343,-0.696,-0.006
