ax,vz,vy,az,time,ay,comp,vx
0.045,-0.276,1.022,1.015,0.3127896785736084,-0.015,-74.2679952148927,-0.168
0.041,-0.486,1.442,1.017,0.3159451484680176,-0.018,-74.2679952148927,-0.028
0.035,-0.556,1.092,1.009,0.3411223888397217,-0.01,-74.11646642040978,0.077
0.037,-0.346,1.232,1.015,0.3416011333465576,-0.017,-74.11646642040978,-0.063
0.038,-0.486,0.742,1.011,0.3419785499572754,-0.013,-74.11646642040978,-0.168
0.034,-0.521,1.617,1.009,0.34234619140625,-0.012,-74.11646642040978,0.217
0.034,-0.486,0.672,1.01,0.34269165992736816,-0.013,-74.11646642040978,-0.028
0.033,-0.381,1.337,1.008,0.3430476188659668,-0.011,-74.11646642040978,0.077
0.038,-0.556,0.357,1.012,0.3433959484100342,-0.018,-74.11646642040978,0.252
0.045,-0.381,1.757,1.014,0.3437488079071045,-0.011,-74.11646642040978,-0.168
0.035,-0.521,0.637,1.008,0.3441121578216553,-0.009,-74.11646642040978,0.147
0.038,-0.381,0.917,1.006,0.3444502353668213,-0.012,-73.58626430112271,0.112
0.035,-0.521,1.407,1.012,0.3464934825897217,-0.018,-73.58626430112271,-0.448
0.036,-0.451,0.742,1.011,0.3623988628387451,-0.01,-73.58626430112271,0.392
0.036,-0.416,1.197,1.009,0.3665049076080322,-0.015,-73.58626430112271,-0.203
0.041,-0.521,1.022,1.011,0.37705302238464355,-0.012,-73.58626430112271,0.217
0.038,-0.486,0.952,1.009,0.3878664970397949,-0.01,-73.58626430112271,0.007
0.036,-0.486,1.372,1.014,0.39879846572875977,-0.015,-73.58626430112271,-0.028
0.038,-0.486,0.637,1.009,0.40799689292907715,-0.009,-73.58626430112271,0.077
0.032,-0.346,1.057,1.008,0.4178152084350586,-0.014,-73.58626430112271,-0.063
0.036,-0.486,1.127,1.011,0.42995476722717285,-0.009,-73.9895113669534,0.252
0.04,-0.486,0.987,1.011,0.4390263557434082,-0.015,-73.9895113669534,-0.063
0.035,-0.486,1.057,1.011,0.44665956497192383,-0.017,-73.9895113669534,0.007
0.035,-0.591,0.987,1.012,0.45734596252441406,-0.01,-73.9895113669534,0.147
0.036,-0.556,1.232,1.009,0.4666595458984375,-0.009,-73.9895113669534,0.217
0.04,-0.451,0.707,1.013,0.4763665199279785,-0.016,-73.9895113669534,-0.133
0.035,-0.451,1.162,1.013,1.0796818733215332,-0.013,-73.9895113669534,-0.028
0.034,-0.416,1.057,1.011,1.080232858657837,-0.018,-73.17859010995917,-0.063
0.037,-0.556,1.092,1.011,1.0805745124816895,-0.012,-73.17859010995917,-0.063
0.038,-0.381,0.847,1.015,1.080871343612671,-0.012,-73.17859010995917,0.007
0.042,-0.416,1.267,1.015,1.0811502933502197,-0.011,-74.44175094649424,-0.098
0.044,-0.521,1.197,1.016,1.0814061164855957,-0.01,-74.44175094649424,0.007
0.035,-0.416,0.847,1.011,1.081655502319336,-0.012,-74.44175094649424,-0.063
0.036,-0.486,1.197,1.008,1.0819077491760254,-0.009,-74.44175094649424,0.042
0.037,-0.451,1.057,1.012,1.082174301147461,-0.014,-74.44175094649424,-0.028
0.037,-0.311,1.092,1.011,1.0824449062347412,-0.012,-74.44175094649424,-0.063
0.032,-0.451,0.777,1.009,1.082698106765747,-0.015,-74.44175094649424,0.147
0.037,-0.416,1.127,1.01,1.0862576961517334,-0.012,-74.44175094649424,-0.063
0.039,-0.661,1.232,1.012,1.6560041904449463,-0.009,-74.44175094649424,0.322
0.037,-0.311,1.057,1.012,1.6586973667144775,-0.011,-74.47917613369556,0.147
0.032,-0.661,0.777,1.012,1.6591076850891113,-0.016,-74.47917613369556,-0.063
0.038,-0.311,1.372,1.013,1.6593995094299316,-0.014,-74.47917613369556,0.007
0.04,-0.661,1.057,1.01,1.6596574783325195,-0.008,-74.47917613369556,0.182
0.031,-0.521,1.127,1.012,1.6599071025848389,-0.011,-74.54418082252761,-0.028
0.039,-0.486,0.917,1.015,1.6601550579071045,-0.013,-74.54418082252761,0.077
0.04,-0.521,1.407,1.016,1.6603972911834717,-0.013,-74.54418082252761,-0.273
0.037,-0.416,0.917,1.012,1.660642385482788,-0.007,-74.54418082252761,0.147
0.03,-0.451,1.092,1.009,1.6608917713165283,-0.011,-74.54418082252761,-0.098
0.035,-0.486,1.232,1.01,1.6611378192901611,-0.014,-74.54418082252761,0.147
0.043,-0.486,0.882,1.014,2.23872447013855,-0.016,-74.54418082252761,-0.028
0.043,-0.416,0.917,1.015,2.239403247833252,-0.013,-74.65490684277148,0.077
0.039,-0.276,1.372,1.012,2.2398476600646973,-0.005,-74.65490684277148,-0.168
0.038,-0.521,0.952,1.009,2.2417244911193848,-0.004,-74.65490684277148,0.217
0.037,-0.661,1.092,1.014,2.2420403957366943,-0.024,-74.65490684277148,0.217
0.037,-0.451,0.952,1.011,2.24229097366333,-0.007,-74.65490684277148,-0.203
0.032,-0.416,1.092,1.011,2.242501735687256,-0.009,-74.73043728653084,0.007
0.042,-0.591,1.057,1.012,2.2427053451538086,-0.009,-74.73043728653084,-0.063
0.038,-0.381,1.092,1.004,2.2429096698760986,-0.017,-74.73043728653084,0.182
0.035,-0.521,0.917,1.014,2.243108034133911,-0.01,-74.73043728653084,-0.203
0.038,-0.381,1.022,1.007,2.2433011531829834,-0.013,-74.73043728653084,0.007
0.037,-0.416,1.127,1.011,2.247022867202759,-0.011,-74.73043728653084,-0.098
0.034,-0.416,0.742,1.007,2.8006863594055176,-0.008,-74.73043728653084,0.182
0.024,-0.626,0.602,1.004,2.8026905059814453,-0.019,-75.01446421745696,-0.063
0.025,-0.381,0.742,1.002,2.8029935359954834,-0.006,-75.01446421745696,-0.483
-0.004,-0.381,1.267,0.992,2.80325984954834,-0.02,-75.01446421745696,-0.133
0.051,-0.241,-0.308,1.012,2.8035097122192383,-0.009,-75.01446421745696,-0.378
-0.004,-0.661,1.302,1.002,2.803743839263916,-0.024,-75.01446421745696,0.532
0.037,-0.241,0.637,1.012,2.8039727210998535,-0.006,-75.01446421745696,0.077
0.031,-0.521,1.407,1.015,2.804199457168579,-0.008,-75.01446421745696,0.777
0.023,-0.276,1.022,1.013,2.804426908493042,-0.018,-75.54022045441951,-0.133
0.046,-0.521,0.392,1.014,2.8046579360961914,-0.014,-75.54022045441951,0.217
0.064,-0.661,2.632,1.022,2.804882764816284,0.014,-75.54022045441951,0.812
