ay,ax,time,az,vz,vy,vx,comp
-0.005,0.032,1.097731113433838,1.011,-0.556,0.987,-0.168,-73.38159840490536
-0.011,0.038,1.0984606742858887,1.015,-0.416,1.127,0.182,-73.38159840490536
-0.019,0.041,1.098876714706421,1.008,-0.591,1.232,-0.028,-73.38159840490536
-0.012,0.031,1.099156141281128,1.005,-0.486,0.952,-0.063,-73.38159840490536
-0.011,0.04,1.0994324684143066,1.014,-0.416,0.987,0.147,-73.38159840490536
-0.015,0.039,1.0997543334960938,1.009,-0.416,1.162,-0.133,-73.38159840490536
-0.013,0.036,1.1000745296478271,1.006,-0.486,1.022,0.007,-73.38159840490536
-0.012,0.037,1.1003837585449219,1.013,-0.626,1.162,0.112,-73.38159840490536
-0.017,0.041,1.1006743907928467,1.015,-0.486,0.777,-0.028,-73.38159840490536
-0.014,0.03,1.1009576320648193,1.006,-0.451,1.372,0.077,-73.22552292667616
-0.011,0.041,1.1012458801269531,1.008,-0.521,0.777,-0.238,-73.22552292667616
-0.01,0.041,1.1084058284759521,1.013,-0.521,1.372,0.462,-73.22552292667616
-0.023,0.035,1.7186226844787598,1.014,-0.416,0.987,-0.203,-73.22552292667616
-0.018,0.033,1.721057415008545,1.014,-0.416,1.162,-0.343,-73.04684435811949
-0.012,0.038,1.721451997756958,1.012,-0.626,0.952,0.217,-73.04684435811949
-0.012,0.039,1.7217738628387451,1.012,-0.171,1.232,-0.238,-73.04684435811949
-0.009,0.036,1.7220871448516846,1.009,-0.416,1.302,0.112,-73.04684435811949
-0.018,0.032,1.7223844528198242,1.012,-0.591,0.847,-0.203,-73.04684435811949
-0.016,0.039,1.7226731777191162,1.011,-0.346,1.197,-0.203,-73.88353057170494
-0.007,0.042,1.7229704856872559,1.011,-0.521,1.232,0.112,-73.88353057170494
-0.012,0.035,1.723271131515503,1.016,-0.556,0.987,0.182,-73.88353057170494
-0.014,0.041,1.7235643863677979,1.012,-0.381,1.057,-0.098,-73.88353057170494
-0.013,0.038,1.7238540649414062,1.006,-0.521,1.022,-0.518,-73.88353057170494
-0.007,0.032,2.306305408477783,1.013,-0.521,1.092,0.252,-73.88353057170494
-0.01,0.044,2.3085737228393555,1.014,-0.346,1.267,0.042,-73.2911113108872
-0.014,0.041,2.3089797496795654,1.012,-0.416,0.987,0.182,-73.2911113108872
-0.017,0.033,2.3092992305755615,1.01,-0.486,0.497,-0.238,-73.2911113108872
-0.012,0.035,2.3096022605895996,1.008,-0.451,1.092,-0.063,-73.2911113108872
-0.013,0.038,2.3098957538604736,1.012,-0.381,1.337,0.007,-73.06230162317645
-0.011,0.036,2.3101820945739746,1.016,-0.486,1.092,0.042,-73.06230162317645
-0.015,0.036,2.3104681968688965,1.013,-0.486,0.812,0.077,-73.06230162317645
-0.015,0.041,2.3107526302337646,1.011,-0.381,1.057,-0.098,-73.06230162317645
-0.008,0.031,2.3110313415527344,1.009,-0.381,0.742,0.112,-73.06230162317645
-0.01,0.036,2.3113341331481934,1.009,-0.521,1.127,0.217,-73.06230162317645
