ay,comp,vz,vx,time,az,ax,vy
-0.012,-73.31230073938939,-0.521,0.042,1.1042430400848389,1.013,0.036,0.777
-0.013,-73.31230073938939,-0.381,-0.063,1.1049613952636719,1.013,0.038,1.057
-0.014,-73.31230073938939,-0.521,-0.133,1.1053493022918701,1.012,0.04,1.092
-0.011,-73.31230073938939,-0.591,0.077,1.1057085990905762,1.014,0.041,0.987
-0.011,-73.31230073938939,-0.451,0.007,1.1060457229614258,1.009,0.029,0.987
-0.012,-73.64587185048067,-0.521,-0.098,1.106349229812622,1.012,0.04,0.847
-0.014,-73.64587185048067,-0.416,0.112,1.1067678928375244,1.013,0.034,1.057
-0.012,-73.64587185048067,-0.556,-0.168,1.1071171760559082,1.015,0.041,1.127
-0.01,-73.64587185048067,-0.381,-0.063,1.1074416637420654,1.011,0.034,0.882
-0.011,-73.64587185048067,-0.311,0.007,1.1077587604522705,1.017,0.039,1.057
-0.009,-73.64587185048067,-0.556,0.007,1.1080949306488037,1.011,0.037,1.092
-0.013,-73.64587185048067,-0.416,-0.098,1.1115877628326416,1.011,0.039,0.882
-0.012,-73.64587185048067,-0.556,0.042,1.1193041801452637,1.012,0.035,1.302
-0.013,-73.64587185048067,-0.486,0.007,1.7956206798553467,1.012,0.036,0.812
-0.014,-74.04078590054294,-0.591,0.217,1.7963085174560547,1.012,0.038,0.777
-0.015,-74.04078590054294,-0.311,-0.133,1.798311471939087,1.013,0.042,1.092
-0.013,-74.04078590054294,-0.416,-0.168,1.7987048625946045,1.005,0.026,1.267
-0.012,-73.15743430297873,-0.276,-0.098,1.7990686893463135,1.013,0.04,1.232
-0.013,-73.15743430297873,-0.626,0.287,1.799422264099121,1.01,0.036,0.917
-0.011,-73.15743430297873,-0.486,-0.063,1.7997064590454102,1.016,0.04,0.707
-0.011,-73.15743430297873,-0.486,-0.063,1.79996657371521,1.011,0.035,1.057
-0.012,-73.15743430297873,-0.416,0.077,1.8002252578735352,1.011,0.042,1.127
-0.012,-73.15743430297873,-0.556,-0.098,1.8005478382110596,1.017,0.045,0.812
-0.007,-73.15743430297873,-0.486,-0.028,1.8008692264556885,1.014,0.036,0.952
-0.011,-73.15743430297873,-0.521,0.357,1.8011693954467773,1.006,0.032,1.162
-0.017,-73.15743430297873,-0.486,0.112,2.4461276531219482,1.013,0.041,0.917
-0.011,-73.27562688756396,-0.521,0.077,2.446831464767456,1.013,0.039,0.952
-0.01,-73.27562688756396,-0.311,-0.133,2.4488909244537354,1.012,0.038,1.127
-0.012,-73.27562688756396,-0.591,0.147,2.4491934776306152,1.011,0.038,0.987
-0.011,-73.27562688756396,-0.381,0.042,2.4494714736938477,1.01,0.036,0.882
-0.01,-73.27562688756396,-0.416,0.042,2.4497411251068115,1.011,0.037,1.022
-0.013,-73.27562688756396,-0.626,0.252,2.450010299682617,1.011,0.039,0.987
-0.013,-73.27562688756396,-0.451,0.007,2.4502758979797363,1.012,0.036,1.267
-0.013,-73.27150332836098,-0.486,-0.098,2.4505984783172607,1.013,0.037,0.847
-0.013,-73.27150332836098,-0.521,-0.028,2.450899600982666,1.011,0.038,1.022
-0.014,-73.27150332836098,-0.521,-0.063,2.4511899948120117,1.012,0.04,1.022
-0.012,-73.27150332836098,-0.591,0.147,2.451463222503662,1.009,0.032,0.672
-0.013,-73.27150332836098,-0.381,-0.063,3.0923688411712646,1.012,0.033,1.092
-0.013,-73.39470204763322,-0.556,-0.098,3.093036651611328,1.011,0.037,1.127
-0.009,-73.39470204763322,-0.416,0.077,3.0934371948242188,1.01,0.036,0.987
-0.012,-73.39470204763322,-0.556,-0.133,3.09566068649292,1.012,0.038,1.267
-0.014,-73.39470204763322,-0.416,0.042,3.0960583686828613,1.012,0.039,0.882
-0.014,-73.39470204763322,-0.451,-0.098,3.0963375568389893,1.01,0.033,1.232
-0.012,-73.39470204763322,-0.521,-0.098,3.0965871810913086,1.012,0.04,1.162
-0.012,-73.39470204763322,-0.451,0.077,3.0968241691589355,1.009,0.036,0.952
-0.013,-73.39470204763322,-0.521,0.042,3.097057580947876,1.011,0.038,0.742
-0.013,-73.39470204763322,-0.276,-0.098,3.097288131713867,1.014,0.041,1.197
-0.009,-73.39470204763322,-0.556,-0.028,3.0975162982940674,1.01,0.034,1.092
-0.014,-73.71135259800347,-0.591,-0.028,3.0979769229888916,1.012,0.037,0.987
-0.014,-73.71135259800347,-0.416,0.147,3.705400228500366,1.011,0.038,1.022
-0.015,-73.70210387091346,-0.311,-0.098,3.7077784538269043,1.011,0.035,0.847
-0.012,-73.70210387091346,-0.451,-0.063,3.7082884311676025,1.011,0.033,1.197
-0.012,-73.70210387091346,-0.521,-0.028,3.708634614944458,1.007,0.034,1.057
-0.01,-73.70210387091346,-0.451,-0.063,3.7089574337005615,1.014,0.04,1.057
-0.014,-73.70210387091346,-0.556,0.112,3.709275960922241,1.013,0.038,1.022
-0.014,-73.70210387091346,-0.521,-0.063,3.7095847129821777,1.008,0.03,0.917
-0.009,-73.70210387091346,-0.591,0.077,3.709882974624634,1.011,0.037,1.057
-0.012,-73.70210387091346,-0.416,0.042,3.710177421569824,1.011,0.037,0.777
